Job Title,Algeria Count,Standardized Percentage Algeria,Bahrain Count,Standardized Percentage Bahrain,Djibouti Count,Standardized Percentage Djibouti,Egypt Count,Standardized Percentage Egypt,Iraq Count,Standardized Percentage Iraq,Jordan Count,Standardized Percentage Jordan,Kuwait Count,Standardized Percentage Kuwait,Lebanon Count,Standardized Percentage Lebanon,Libya Count,Standardized Percentage Libya,Mauritania Count,Standardized Percentage Mauritania,Morocco Count,Standardized Percentage Morocco,Oman Count,Standardized Percentage Oman,Palestine Count,Standardized Percentage Palestine,Qatar Count,Standardized Percentage Qatar,Saudi Arabia Count,Standardized Percentage Saudi Arabia,Somalia Count,Standardized Percentage Somalia,Sudan Count,Standardized Percentage Sudan,Syria Count,Standardized Percentage Syria,Tunisia Count,Standardized Percentage Tunisia,United Arab Emirates Count,Standardized Percentage United Arab Emirates,Yemen Count,Standardized Percentage Yemen,US Count,Standardized Percentage US
répétiteur,4968,12.19530157,160,0.15885308,,,350,0.09889576,584,1.13417879,4743,5.55698753,352,0.07204375,364,0.2352637,228,2.91858679,76,6.89655172,11013,12.87061601,,,1,0.00882924,194,0.06193057,830,0.15021048,1223,5.1190825,46,0.30857986,6,0.09784736,2207,2.42444881,724,0.06252202,148,1.48074037,233,0.06726134
commercial director,1472,3.61342269,140,0.13899645,,,393,0.11104581,67,0.13011983,519,0.60807011,146,0.02988178,151,0.09759566,6,0.07680492,2,0.1814882,1181,1.38020499,,,12,0.10595091,528,0.16855331,2216,0.40104387,199,0.83294965,11,0.07379084,12,0.19569472,2091,2.2970197,3045,0.26295518,16,0.16008004,329,0.09497416
chef,945,2.31975845,2037,2.02239828,,,882,0.24921731,246,0.47775339,1218,1.42703159,4218,0.86329698,2207,1.42644778,19,0.24321557,9,0.81669691,2256,2.63653044,,,3,0.02648773,4896,1.56294892,3999,0.72372493,174,0.72830773,4,0.02683303,80,1.30463144,297,0.32626248,12918,1.11555175,16,0.16008004,87,0.02511475
sales manager,485,1.19056386,2908,2.88715474,,,7694,2.17401132,392,0.76129809,877,1.02750961,8876,1.81664866,4047,2.61569286,53,0.67844342,3,0.2722323,761,0.88936155,,,74,0.65336394,6049,1.93102083,8704,1.57521925,228,0.95433427,116,0.77815791,152,2.47879974,648,0.71184542,29265,2.52721953,27,0.27013507,2278,0.65760226
cook,459,1.12673982,397,0.39415421,,,181,0.05114323,57,0.11069896,134,0.15699691,3414,0.69874251,100,0.06463289,7,0.08960573,1,0.0907441,309,0.36112053,,,,,519,0.16568025,503,0.09103117,154,0.6445942,16,0.10733213,4,0.06523157,249,0.27353319,1194,0.10310952,15,0.15007504,658,0.18994833
financial controller,368,0.90335567,159,0.15786025,,,1235,0.34896075,279,0.54184226,617,0.72288874,331,0.06774569,493,0.31864012,32,0.40962622,4,0.36297641,589,0.68834948,,,59,0.5209253,520,0.16599948,1071,0.19382581,178,0.74505044,227,1.52277454,19,0.30984997,463,0.50861794,2604,0.22487202,82,0.82041021,451,0.13019255
commercial sales representative,346,0.84935071,1401,1.39095729,,,5180,1.46365722,451,0.87588122,649,0.76038054,5727,1.17214363,4589,2.9660031,45,0.57603687,,,613,0.71639768,,,173,1.52745894,3316,1.05856589,6994,1.26574948,134,0.56088067,91,0.61045147,75,1.22309198,1010,1.10951214,13987,1.20786672,46,0.46023012,5751,1.66017147
client relations manager,344,0.84444117,332,0.32962014,,,1104,0.31194548,79,0.15342487,310,0.3632018,566,0.11584308,289,0.18678904,7,0.08960573,1,0.0907441,617,0.72107238,,,12,0.10595091,626,0.19983783,1220,0.2207913,53,0.22184086,36,0.24149728,35,0.57077626,687,0.75468796,4878,0.42124643,20,0.20010005,1593,0.4598597
administrative assistant,308,0.75606942,372,0.36933341,,,1734,0.48995784,260,0.50494261,749,0.87754241,2082,0.42612241,2575,1.66429679,25,0.32002048,9,0.81669691,543,0.63459044,,,76,0.67102243,2523,0.80541669,2692,0.48718868,229,0.95851994,111,0.74461662,26,0.42400522,997,1.09523129,8644,0.74646457,103,1.03051526,1401,0.40443405
project manager,302,0.7413408,668,0.66321161,,,3735,1.05535902,717,1.39247636,786,0.9208923,1669,0.3415938,1048,0.67735264,57,0.7296467,7,0.63520871,589,0.68834948,,,272,2.40155395,3625,1.15720789,10256,1.85609474,310,1.29755975,400,2.68330315,83,1.35355512,982,1.07875339,11891,1.02686374,258,2.58129065,3324,0.95955659
software developer,279,0.68488107,801,0.79525824,,,6927,1.95728833,115,0.22334,1170,1.37079389,2433,0.49796149,2728,1.76318511,35,0.44802867,3,0.2722323,753,0.88001215,,,122,1.07716758,1837,0.58642507,2000,0.36195295,120,0.50228119,251,1.68377272,34,0.55446836,1425,1.5654008,6494,0.56079835,21,0.21010505,7517,2.169972
marketing manager,277,0.67997152,830,0.82405036,,,2466,0.69679126,219,0.42531705,440,0.51551223,2741,0.56099977,1847,1.19376939,33,0.42242704,1,0.0907441,357,0.41721692,,,19,0.16775561,2039,0.65090949,3660,0.6623739,87,0.36415387,66,0.44274502,55,0.89693412,533,0.58551482,9292,0.80242351,36,0.36018009,1080,0.31176929
online community manager,273,0.67015244,95,0.09431902,,,830,0.23452423,120,0.23305044,170,0.19917518,235,0.04809739,482,0.31153051,3,0.03840246,,,213,0.24892774,,,12,0.10595091,168,0.0536306,291,0.05266415,82,0.34322548,24,0.16099819,11,0.17938682,689,0.75688502,1332,0.1150267,28,0.28014007,342,0.09872694
private chauffeur,271,0.6652429,71,0.07049105,,,29,0.00819422,3,0.00582626,240,0.28118849,434,0.08882667,91,0.05881593,6,0.07680492,3,0.2722323,255,0.29801208,,,1,0.00882924,93,0.02968837,228,0.04126264,36,0.15068436,,,2,0.03261579,46,0.05053224,1190,0.1027641,1,0.010005,16,0.0046188
architect,267,0.65542382,109,0.10821866,,,1139,0.32183505,52,0.10098852,141,0.16519824,693,0.14183613,671,0.43368666,30,0.38402458,1,0.0907441,256,0.29918076,,,22,0.19424333,878,0.28028373,2017,0.36502955,27,0.11301327,16,0.10733213,15,0.2446184,207,0.22739506,2484,0.21450925,12,0.12006003,378,0.10911925
specialised doctor,263,0.64560473,126,0.1250968,,,342,0.09663528,56,0.10875687,166,0.19448871,1037,0.21224253,42,0.02714581,16,0.20481311,2,0.1814882,130,0.15192773,,,93,0.82111955,682,0.2177147,1554,0.28123744,39,0.16324139,9,0.06037432,12,0.19569472,121,0.13292175,3944,0.34058957,23,0.23011506,266,0.07678762
