Soft Skill,Category,Subcategory,Algeria Count,Standardized Count Algeria,Bahrain Count,Standardized Count Bahrain,Djibouti Count,Standardized Count Djibouti,Egypt Count,Standardized Count Egypt,Iraq Count,Standardized Count Iraq,Jordan Count,Standardized Count Jordan,Kuwait Count,Standardized Count Kuwait,Lebanon Count,Standardized Count Lebanon,Libya Count,Standardized Count Libya,Mauritania Count,Standardized Count Mauritania,Morocco Count,Standardized Count Morocco,Oman Count,Standardized Count Oman,Palestine Count,Standardized Count Palestine,Qatar Count,Standardized Count Qatar,Saudi Arabia Count,Standardized Count Saudi Arabia,Somalia Count,Standardized Count Somalia,Sudan Count,Standardized Count Sudan,Syria Count,Standardized Count Syria,Tunisia Count,Standardized Count Tunisia,United Arab Emirates Count,Standardized Count United Arab Emirates,Yemen Count,Standardized Count Yemen,US Count,Standardized Count US
Communications,Uncategorized,Uncategorized,14742,16.14305581,29603,9.87655557,,,120280,9.6468954,23730,6.77347811,29937,7.82194283,63646,8.83225161,36565,8.17323275,1582,6.95170717,539,8.32946994,25483,13.17829457,,,2482,7.38800417,81996,9.18297751,148027,8.22690329,7943,8.08373788,7496,5.84064453,1905,7.74484693,16248,10.61433536,332027,9.11039057,4679,5.96659016,160067,7.40148014
Management,Business,Business Management,5637,6.17273135,14441,4.81800287,,,59407,4.76465842,17090,4.87816017,19523,5.1009717,29521,4.09667379,17697,3.95574183,1218,5.35219932,361,5.5787359,10138,5.24277167,,,1501,4.46792677,47129,5.2781178,101158,5.62206275,5031,5.12014167,7145,5.5671565,1321,5.37057365,12754,8.33180904,162143,4.44899378,3604,4.59576639,76515,3.53804502
Planning,Physical and Inherent Abilities,Initiative and Leadership,3640,3.98593971,6947,2.31775264,,,34275,2.74898021,10547,3.01052986,11827,3.09015993,18156,2.51953556,9507,2.12506287,729,3.20340994,242,3.73976202,6707,3.46846218,,,1021,3.03914273,27472,3.07667152,61715,3.42993735,3556,3.61900691,4773,3.71896963,825,3.35406757,6276,4.09992422,101150,2.77542491,2666,3.39964295,39262,1.81547048
Sales,Sales,General Sales Practices,3321,3.63662246,14915,4.9761452,,,66127,5.30362697,3901,1.11349929,7098,1.85456626,49150,6.82061978,28474,6.36468287,492,2.16197214,45,0.69541029,7801,4.03421402,,,626,1.86337253,32106,3.59564706,69034,3.83670575,1505,1.53166631,1192,0.92876845,1151,4.67943245,9010,5.88596514,181830,4.98917955,371,0.4730936,66790,3.08836211
English Language,Media and Communications,Language Competency,3006,3.29168537,12375,4.12871584,,,73552,5.89913909,20568,5.87091857,19793,5.17151733,54616,7.57914486,24122,5.39189718,1344,5.90587512,284,4.38881162,7445,3.85011196,,,2560,7.62018157,51542,5.77234288,93035,5.17061041,5448,5.54453027,6996,5.45106045,1222,4.96808554,7001,4.57354517,159698,4.38190615,4594,5.85819944,20668,0.955686
Innovation,Physical and Inherent Abilities,Critical Thinking and Problem Solving,2910,3.18656169,5190,1.7315584,,,26553,2.1296476,11969,3.41642476,7849,2.05078763,11436,1.586991,5525,1.23498184,485,2.13121237,128,1.97805594,7851,4.06007106,,,509,1.51510641,16822,1.88394614,44188,2.45583848,1657,1.68635952,2326,1.81234514,322,1.30910274,4181,2.731323,79413,2.1789898,1503,1.91660291,73019,3.37639038
Operations,Business,Business Operations,2598,2.84490971,9764,3.25759851,,,32519,2.6081426,16935,4.83391706,10186,2.66139926,19491,2.70479553,8444,1.8874546,735,3.22977545,236,3.64704064,5206,2.6922341,,,658,1.9586248,31321,3.50773256,61298,3.40676173,2848,2.89846223,4101,3.19536862,760,3.0898077,4761,3.11021976,98944,2.71489513,2000,2.5503698,61761,2.85582172
Arabic Language,Media and Communications,Language Competency,2526,2.76606695,5837,1.94741934,,,19056,1.52836081,10238,2.92232907,13891,3.62944209,29851,4.14246838,14510,3.24336407,931,4.09104891,169,2.61165199,2944,1.522462,,,1856,5.52463164,17851,1.99918693,44401,2.46767639,1085,1.10422455,4112,3.20393947,684,2.78082693,1937,1.26538451,69436,1.90523385,3629,4.62764601,765,0.03537351
Leadership,Physical and Inherent Abilities,Initiative and Leadership,2435,2.66641846,7033,2.34644513,,,29585,2.37282508,8582,2.44964135,9323,2.43591452,12817,1.77863446,7375,1.64850517,547,2.40365602,155,2.39530212,5197,2.68757983,,,595,1.77109689,20128,2.25419498,50563,2.81014214,2422,2.46491416,3397,2.64683424,597,2.42712526,2954,1.92976038,79228,2.17391364,1661,2.11808212,64514,2.98312013
Customer Service,Customer and Client Support,Customer Service,1932,2.11561415,8806,2.93797751,,,32877,2.6368555,5712,1.63043013,5433,1.41953487,20677,2.86937854,12138,2.7131601,213,0.93597574,37,0.5717818,4151,2.14665074,,,187,0.55663045,23559,2.63844294,38226,2.12448814,900,0.91594663,857,0.66774711,521,2.11814449,3772,2.46413546,113541,3.11541789,393,0.50114767,61393,2.83880544
