Hard Skill,Category,Subcategory,UAE Count,Standardized Count UAE,US Count,Standardized Count US
Marketing,Marketing and Public Relations,Marketing Strategy and Techniques,96359,1.8149931,33648,0.79281247
Finance,Finance,General Finance,69311,1.305524,22966,0.54112373
Project Management,Business,Project Management,63386,1.19392223,35564,0.83795717
Accounting,Finance,General Accounting,62007,1.16794775,18137,0.42734308
Restaurant Operation,Hospitality and Food Services,Food and Beverage,38078,0.71722732,4100,0.09660399
Key Performance Indicators (KPIs),Business,Process Improvement and Optimization,34500,0.64983304,11870,0.27968034
Business Development,Business,Business Strategy,31679,0.59669742,11182,0.26346972
Invoicing,Finance,Billing and Invoicing,30862,0.58130862,8724,0.20555445
Auditing,"Law, Regulation, and Compliance",Auditing,30259,0.56995067,12496,0.29443012
Selling Techniques,Sales,General Sales Practices,29604,0.55761326,13577,0.31990059
Financial Statements,Finance,Financial Reporting,29150,0.54906183,9651,0.22739637
Data Analysis,Analysis,Data Analysis,25982,0.4893902,18164,0.42797925
Sales Prospecting,Sales,Prospecting and Qualification,24935,0.46966918,12709,0.29944882
Computer Science,Information Technology,Computer Science,23758,0.44749952,29165,0.68718426
Construction,Architecture and Construction,General Construction and Construction Labor,23293,0.4387409,9160,0.21582746
Market Trend,Marketing and Public Relations,Market Analysis,22262,0.41932125,4229,0.09964348
Housekeeping,"Maintenance, Repair, and Facility Services",Cleaning and Janitorial Services,21454,0.40410197,4939,0.11637247
Financial Services,Finance,General Finance,18845,0.35495953,14008,0.33005579
Procurement,"Transportation, Supply Chain, and Logistics",Procurement,18536,0.34913928,5751,0.13550477
Social Media,Marketing and Public Relations,Social Media,18154,0.34194403,3652,0.08604824
Purchasing,"Transportation, Supply Chain, and Logistics",Procurement,17880,0.33678304,12445,0.29322846
Inventory Management,"Transportation, Supply Chain, and Logistics",Inventory and Warehousing,17517,0.32994566,8837,0.20821695
Customer Relationship Management,Business,Customer Relationship Management (CRM),17508,0.32977614,13087,0.30835523
Administrative Support,Administration,Administrative Support and Clerical Tasks,16789,0.31623324,5253,0.12377092
Market Research,Marketing and Public Relations,Market Analysis,16274,0.30653284,3301,0.077778
AutoCAD,Engineering,Engineering Software,15377,0.28963718,4364,0.10282435
Risk Management,Business,Risk Management,15195,0.28620907,9212,0.21705268
Environment Health And Safety,"Law, Regulation, and Compliance",Occupational Health and Safety,14464,0.27244015,3579,0.08432822
Mechanical Engineering,Engineering,Mechanical Engineering,14274,0.26886136,5709,0.13451517
