skill,title,count,standardized count
Accounting,accountant,71,0.001287327978532446
Project Management,project manager,52,0.0009428317589251718
Sales,sales manager,41,0.0007433865791525393
Sales,commercial sales representative,40,0.000725255199173209
Management,project manager,40,0.000725255199173209
Communications,project manager,36,0.0006527296792558882
Coordinating,project manager,31,0.000562072779359237
Arabic Language,humanitarian advisor,31,0.000562072779359237
Accounting,public finance accountant,30,0.0005439413993799068
Finance,financial controller,29,0.0005258100194005766
Finance,financial manager,29,0.0005258100194005766
Communications,humanitarian advisor,28,0.0005076786394212463
English Language,project manager,28,0.0005076786394212463
Accounting,financial controller,27,0.0004895472594419161
English Language,project support officer,27,0.0004895472594419161
Planning,humanitarian advisor,27,0.0004895472594419161
Financial Statements,financial controller,26,0.0004714158794625859
Operations,operations manager,25,0.0004532844994832557
Management,monitoring and evaluation officer,25,0.0004532844994832557
Accounting,financial manager,25,0.0004532844994832557
Arabic Language,monitoring and evaluation officer,25,0.0004532844994832557
Pharmaceuticals,medical sales representative,24,0.00043515311950392544
Coordinating,project support officer,24,0.00043515311950392544
Management,human resources manager,24,0.00043515311950392544
English Language,monitoring and evaluation officer,24,0.00043515311950392544
Application Programming Interface (API),mobile application developer,23,0.0004170217395245952
Marketing,marketing manager,23,0.0004170217395245952
Communications,monitoring and evaluation officer,23,0.0004170217395245952
Planning,project manager,23,0.0004170217395245952
Accountability,monitoring and evaluation officer,22,0.000398890359545265
Arabic Language,project manager,22,0.000398890359545265
Auditing,financial manager,22,0.000398890359545265
Management,financial manager,22,0.000398890359545265
Management,humanitarian advisor,22,0.000398890359545265
RESTful API,mobile application developer,22,0.000398890359545265
Management,venue director,22,0.000398890359545265
Git (Version Control System),mobile application developer,22,0.000398890359545265
English Language,humanitarian advisor,22,0.000398890359545265
Communications,venue director,21,0.00038075897956593474
Management,project support officer,21,0.00038075897956593474
Data Collection,monitoring and evaluation officer,21,0.00038075897956593474
Project Management,project support officer,21,0.00038075897956593474
Coordinating,humanitarian advisor,21,0.00038075897956593474
Problem Solving,mobile application developer,21,0.00038075897956593474
Operations,financial manager,21,0.00038075897956593474
Training And Development,human resources manager,20,0.0003626275995866045
Management,programme manager,20,0.0003626275995866045
Communications,oil and gas production manager,20,0.0003626275995866045
TUNIS,financial manager,20,0.0003626275995866045
Labor Law,human resources manager,20,0.0003626275995866045
Arabic Language,project support officer,20,0.0003626275995866045
Communications,financial controller,20,0.0003626275995866045
Communications,operations manager,20,0.0003626275995866045
Data Analysis,monitoring and evaluation officer,20,0.0003626275995866045
Communications,project support officer,20,0.0003626275995866045
Management,financial controller,20,0.0003626275995866045
Procurement,project manager,20,0.0003626275995866045
Leadership,financial manager,20,0.0003626275995866045
External Auditing,financial manager,20,0.0003626275995866045
Financial Management,financial manager,19,0.00034449621960727433
Coordinating,venue director,19,0.00034449621960727433
Marketing,medical sales representative,19,0.00034449621960727433
Internal Auditing,financial manager,19,0.00034449621960727433
Fundraising,venue director,19,0.00034449621960727433
Software Versioning,mobile application developer,19,0.00034449621960727433
Arabic Language,political affairs officer,19,0.00034449621960727433
Planning,programme manager,19,0.00034449621960727433
Accountability,humanitarian advisor,19,0.00034449621960727433
Communications,financial manager,19,0.00034449621960727433
Sales,medical sales representative,19,0.00034449621960727433
Operations,project manager,19,0.00034449621960727433
English Language,political affairs officer,19,0.00034449621960727433
English Language,oil and gas production manager,18,0.0003263648396279441
Performance Management,human resources manager,18,0.0003263648396279441
English Language,international relations officer,18,0.0003263648396279441
Management,operations manager,18,0.0003263648396279441
Sales,sales assistant,18,0.0003263648396279441
Leadership,project manager,18,0.0003263648396279441
Project Implementation,project manager,18,0.0003263648396279441
Budgeting,financial manager,18,0.0003263648396279441
Coordinating,monitoring and evaluation officer,18,0.0003263648396279441
Management,security manager,18,0.0003263648396279441
Coordinating,programme manager,18,0.0003263648396279441
Communications,political affairs officer,18,0.0003263648396279441
Communications,medical sales representative,18,0.0003263648396279441
Cooperation,project manager,17,0.00030823345964861386
Innovation,mobile application developer,17,0.00030823345964861386
Communications,commercial sales representative,17,0.00030823345964861386
Communications,human resources manager,17,0.00030823345964861386
Budget Management,financial manager,17,0.00030823345964861386
Economics,financial manager,17,0.00030823345964861386
Employee Relations,human resources manager,17,0.00030823345964861386
Problem Solving,project manager,17,0.00030823345964861386
Professionalism,political affairs officer,17,0.00030823345964861386
Sales Management,sales manager,17,0.00030823345964861386
Financial Management,financial controller,17,0.00030823345964861386
Project Management,education programme coordinator,16,0.00029010207966928363
Marketing,mobile application developer,16,0.00029010207966928363
Planning,project support officer,16,0.00029010207966928363
Mobile Phones,mobile application developer,16,0.00029010207966928363
User Experience (UX),mobile application developer,16,0.00029010207966928363
Political Sciences,political affairs officer,16,0.00029010207966928363
Calmness Under Pressure,political affairs officer,16,0.00029010207966928363
English Language,programme manager,16,0.00029010207966928363
Sales,sales support assistant,16,0.00029010207966928363
English Language,venue director,16,0.00029010207966928363
Persistence,political affairs officer,16,0.00029010207966928363
Financial Statements,financial manager,16,0.00029010207966928363
Management,international relations officer,16,0.00029010207966928363
Sales,sales account manager,16,0.00029010207966928363
Design Elements And Principles,mobile application developer,16,0.00029010207966928363
Social Sciences,political affairs officer,16,0.00029010207966928363
Social Sciences,project manager,16,0.00029010207966928363
Leadership,human resources manager,16,0.00029010207966928363
Arabic Language,operations manager,16,0.00029010207966928363
Arabic Language,venue director,16,0.00029010207966928363
Software Quality (SQA/SQC),mobile application developer,16,0.00029010207966928363
Human Resource Management,human resources manager,16,0.00029010207966928363
Planning,political affairs officer,16,0.00029010207966928363
Economics,monitoring and evaluation officer,15,0.0002719706996899534
Political Sciences,humanitarian advisor,15,0.0002719706996899534
Child Protection,bodyguard,15,0.0002719706996899534
Community Resilience,financial manager,15,0.0002719706996899534
Child Protection,child welfare worker,15,0.0002719706996899534
Accounting,accounting assistant,15,0.0002719706996899534
Planning,international relations officer,15,0.0002719706996899534
Cost Control,financial manager,15,0.0002719706996899534
Communications,programme manager,15,0.0002719706996899534
English Language,operations manager,15,0.0002719706996899534
Communications,sales manager,15,0.0002719706996899534
Forecasting,financial controller,15,0.0002719706996899534
Accounting Cycle,financial manager,15,0.0002719706996899534
Bilingual (French/English),political affairs officer,15,0.0002719706996899534
Security Policies,humanitarian advisor,15,0.0002719706996899534
Analytical Skills,financial manager,15,0.0002719706996899534
Exploitation,humanitarian advisor,15,0.0002719706996899534
Communications,international relations officer,15,0.0002719706996899534
Budgeting,financial controller,15,0.0002719706996899534
Planning,bodyguard,15,0.0002719706996899534
International Relations,political affairs officer,15,0.0002719706996899534
Finance,operations manager,15,0.0002719706996899534
Planning,monitoring and evaluation officer,15,0.0002719706996899534
Coordinating,bodyguard,14,0.00025383931971062316
Child Safeguarding,community development officer,14,0.00025383931971062316
Public Administration,political affairs officer,14,0.00025383931971062316
Coordinating,international relations officer,14,0.00025383931971062316
English Language,financial controller,14,0.00025383931971062316
English Language,human resources manager,14,0.00025383931971062316
Economics,political affairs officer,14,0.00025383931971062316
Marketing,sales manager,14,0.00025383931971062316
Exploitation,bodyguard,14,0.00025383931971062316
Mentorship,venue director,14,0.00025383931971062316
Cooperation,humanitarian advisor,14,0.00025383931971062316
Training And Development,venue director,14,0.00025383931971062316
Exploitation,project support officer,14,0.00025383931971062316
Leadership,project support officer,14,0.00025383931971062316
Operations,international relations officer,14,0.00025383931971062316
Operations,humanitarian advisor,14,0.00025383931971062316
Program Management,programme manager,14,0.00025383931971062316
Accountability,project manager,14,0.00025383931971062316
Accountability,programme manager,14,0.00025383931971062316
Arabic Language,community development officer,14,0.00025383931971062316
Management,human resources officer,14,0.00025383931971062316
Exploitation,community development officer,14,0.00025383931971062316
Decision Making,monitoring and evaluation officer,14,0.00025383931971062316
Auditing,financial controller,14,0.00025383931971062316
Auto Layout,mobile application developer,14,0.00025383931971062316
Arabic Language,international relations officer,14,0.00025383931971062316
Operations,project support officer,14,0.00025383931971062316
Human Resource Strategy,human resources manager,14,0.00025383931971062316
TUNIS,project manager,14,0.00025383931971062316
Teamwork,humanitarian advisor,13,0.00023570793973129296
TUNIS,financial controller,13,0.00023570793973129296
Writing,project manager,13,0.00023570793973129296
Android (Operating System),mobile application developer,13,0.00023570793973129296
Social Sciences,community development officer,13,0.00023570793973129296
Delegated Authority,political affairs officer,13,0.00023570793973129296
Sexual Harassment Awareness,project support officer,13,0.00023570793973129296
Diplomacy,political affairs officer,13,0.00023570793973129296
Management,bodyguard,13,0.00023570793973129296
Program Management,venue director,13,0.00023570793973129296
English Language,administrative assistant,13,0.00023570793973129296
English Language,bodyguard,13,0.00023570793973129296
Sales,marketing manager,13,0.00023570793973129296
Management,education programme coordinator,13,0.00023570793973129296
Management,logistics and distribution manager,13,0.00023570793973129296
Leadership,venue director,13,0.00023570793973129296
Leadership,humanitarian advisor,13,0.00023570793973129296
English Language,community development officer,13,0.00023570793973129296
Arabic Language,bodyguard,13,0.00023570793973129296
Writing,international relations officer,13,0.00023570793973129296
Marketing,commercial sales representative,13,0.00023570793973129296
Arabic Language,programme manager,13,0.00023570793973129296
Cooperation,bodyguard,13,0.00023570793973129296
Customer Service,customer service representative,13,0.00023570793973129296
Android Applications,mobile application developer,13,0.00023570793973129296
Innovation,monitoring and evaluation officer,13,0.00023570793973129296
Governance,humanitarian advisor,13,0.00023570793973129296
Project Management,service manager,13,0.00023570793973129296
Microsoft Excel,humanitarian advisor,13,0.00023570793973129296
Project Management,programme manager,13,0.00023570793973129296
Coordinating,education programme coordinator,13,0.00023570793973129296
Microsoft Solutions Framework,humanitarian advisor,13,0.00023570793973129296
Project Proposals,project manager,13,0.00023570793973129296
Communications,education programme coordinator,13,0.00023570793973129296
Advocacy,education programme coordinator,13,0.00023570793973129296
Accountability,community development officer,13,0.00023570793973129296
Communications,corporate training manager,13,0.00023570793973129296
Progress Reporting,tour organiser,12,0.00021757655975196272
Data Management,civil registrar,12,0.00021757655975196272
Leadership,operations manager,12,0.00021757655975196272
Leadership,political affairs officer,12,0.00021757655975196272
International Relations,international relations officer,12,0.00021757655975196272
Work Breakdown Structure,tour organiser,12,0.00021757655975196272
English Language,security manager,12,0.00021757655975196272
Program Implementation,venue director,12,0.00021757655975196272
Program Management,environmental programme coordinator,12,0.00021757655975196272
International Relations,project manager,12,0.00021757655975196272
Data Management,monitoring and evaluation officer,12,0.00021757655975196272
Filing,civil registrar,12,0.00021757655975196272
Security Management,security manager,12,0.00021757655975196272
Adobe Photoshop,graphic designer,12,0.00021757655975196272
Professionalism,civil registrar,12,0.00021757655975196272
Operations,venue director,12,0.00021757655975196272
Language Translation,civil registrar,12,0.00021757655975196272
Social Sciences,civil registrar,12,0.00021757655975196272
Communications,administrative assistant,12,0.00021757655975196272
Accountability,bodyguard,12,0.00021757655975196272
Communications,environmental programme coordinator,12,0.00021757655975196272
Accountability,civil registrar,12,0.00021757655975196272
Git (Version Control System),software developer,12,0.00021757655975196272
Arabic Language,education programme coordinator,12,0.00021757655975196272
Advocacy,project manager,12,0.00021757655975196272
English Language,civil registrar,12,0.00021757655975196272
Management,political affairs officer,12,0.00021757655975196272
Internal Communications,project manager,12,0.00021757655975196272
Management,security consultant,12,0.00021757655975196272
English Language,public health policy officer,12,0.00021757655975196272
Financial Statements,accountant,12,0.00021757655975196272
Risk Analysis,tour organiser,12,0.00021757655975196272
Risk Management,security consultant,12,0.00021757655975196272
Integrated Master Plan (IMP),tour organiser,12,0.00021757655975196272
Public Health,public health policy officer,12,0.00021757655975196272
Communications,child welfare worker,12,0.00021757655975196272
Arabic Language,security manager,12,0.00021757655975196272
Coordinating,financial manager,12,0.00021757655975196272
Finance,project manager,12,0.00021757655975196272
Communications,software developer,12,0.00021757655975196272
Community Resilience,volunteer manager,12,0.00021757655975196272
TUNIS,monitoring and evaluation officer,12,0.00021757655975196272
Project Management,tour organiser,12,0.00021757655975196272
Mathematics,civil registrar,12,0.00021757655975196272
Communications,recruitment consultant,12,0.00021757655975196272
Marketing,marketing assistant,12,0.00021757655975196272
English Language,public finance accountant,12,0.00021757655975196272
Application Programming Interface (API),software developer,12,0.00021757655975196272
Project Planning,venue director,12,0.00021757655975196272
Information Technology,civil registrar,12,0.00021757655975196272
Language Interpretation,civil registrar,12,0.00021757655975196272
Planning,tour organiser,12,0.00021757655975196272
TUNIS,volunteer manager,12,0.00021757655975196272
Security Management,venue director,12,0.00021757655975196272
Scheduling,tour organiser,12,0.00021757655975196272
Communications,graphic designer,12,0.00021757655975196272
Organizational Skills,humanitarian advisor,12,0.00021757655975196272
Auditing,tour organiser,12,0.00021757655975196272
Project Schedules,tour organiser,12,0.00021757655975196272
Contingency Planning,security manager,12,0.00021757655975196272
Operations,logistics and distribution manager,11,0.0001994451797726325
International Relations,humanitarian advisor,11,0.0001994451797726325
Warehousing,warehouse manager,11,0.0001994451797726325
Exploitation,monitoring and evaluation officer,11,0.0001994451797726325
Leadership,programme manager,11,0.0001994451797726325
Figma (Design Software),user interface designer,11,0.0001994451797726325
Communications,logistics and distribution manager,11,0.0001994451797726325
Arabic Language,human resources manager,11,0.0001994451797726325
Budgeting,venue director,11,0.0001994451797726325
English Language,secretary,11,0.0001994451797726325
Financial Management,venue director,11,0.0001994451797726325
Financial Statements,project manager,11,0.0001994451797726325
Financial Statements,public finance accountant,11,0.0001994451797726325
Writing,community development officer,11,0.0001994451797726325
Operations,programme manager,11,0.0001994451797726325
Dentistry,dental practitioner,11,0.0001994451797726325
Sexual Harassment Awareness,public health policy officer,11,0.0001994451797726325
Java (Programming Language),mobile application developer,11,0.0001994451797726325
Kotlin,mobile application developer,11,0.0001994451797726325
Information Management,monitoring and evaluation officer,11,0.0001994451797726325
Talent Management,human resources manager,11,0.0001994451797726325
Coordinating,security manager,11,0.0001994451797726325
TUNIS,humanitarian advisor,11,0.0001994451797726325
Community Resilience,environmental programme coordinator,11,0.0001994451797726325
Multitasking,operations manager,11,0.0001994451797726325
Accounting Systems,accountant,11,0.0001994451797726325
Communications,community development officer,11,0.0001994451797726325
Negotiation,financial manager,11,0.0001994451797726325
Multitasking,environmental programme coordinator,11,0.0001994451797726325
Project Planning,project manager,11,0.0001994451797726325
Finance,project support officer,11,0.0001994451797726325
Microsoft Office,monitoring and evaluation officer,11,0.0001994451797726325
Financial Controls,financial manager,11,0.0001994451797726325
English Language,education programme coordinator,11,0.0001994451797726325
