skill,title,count,standardized count
Communications,répétiteur,34,0.002273335116341268
Apache Ant,répétiteur,24,0.0016047071409467772
Apache Ant,humanitarian advisor,20,0.001337255950788981
Teaching Certificate,secondary school teacher,18,0.0012035303557100829
Post Graduate Certificate In Education (PGCE),secondary school teacher,14,0.0009360791655522868
Communications,humanitarian advisor,14,0.0009360791655522868
Exploitation,humanitarian advisor,12,0.0008023535704733886
Sexual Harassment Awareness,humanitarian advisor,12,0.0008023535704733886
Child Safeguarding,humanitarian advisor,12,0.0008023535704733886
Coordinating,répétiteur,10,0.0006686279753944905
Coordinating,defence administration officer,10,0.0006686279753944905
Decision Making,defence administration officer,10,0.0006686279753944905
Communications,bodyguard,10,0.0006686279753944905
English Language,bodyguard,9,0.0006017651778550414
Management,répétiteur,9,0.0006017651778550414
Teaching,secondary school teacher,9,0.0006017651778550414
Child Protection,bodyguard,9,0.0006017651778550414
Management,programme manager,9,0.0006017651778550414
Communications,defence administration officer,9,0.0006017651778550414
Safety Culture,electrical engineer,8,0.0005349023803155924
Sexual Harassment Awareness,bodyguard,8,0.0005349023803155924
Information Management,bodyguard,8,0.0005349023803155924
Internal Controls,electrical engineer,8,0.0005349023803155924
Maintenance Scheduling,electrical engineer,8,0.0005349023803155924
Project Management,electrical engineer,8,0.0005349023803155924
Malnutrition,répétiteur,8,0.0005349023803155924
Language Interpretation,defence administration officer,8,0.0005349023803155924
Professionalism,administrative assistant,8,0.0005349023803155924
Exploitation,administrative assistant,8,0.0005349023803155924
Proactivity,electrical engineer,8,0.0005349023803155924
Sexual Harassment Awareness,defence administration officer,8,0.0005349023803155924
Corrective Maintenance,electrical engineer,8,0.0005349023803155924
Power Plant Operations,electrical engineer,8,0.0005349023803155924
Management,defence administration officer,8,0.0005349023803155924
Mathematics,secondary school teacher,8,0.0005349023803155924
Environment Health And Safety,electrical engineer,8,0.0005349023803155924
Sexual Harassment Awareness,administrative assistant,8,0.0005349023803155924
Exploitation,defence administration officer,8,0.0005349023803155924
Political Sciences,bodyguard,8,0.0005349023803155924
Functional Skills Qualification,administrative assistant,8,0.0005349023803155924
Functional Skills Qualification,bodyguard,8,0.0005349023803155924
Advising,electrical engineer,8,0.0005349023803155924
Goal Setting,electrical engineer,8,0.0005349023803155924
Occupational Safety And Health,electrical engineer,8,0.0005349023803155924
Language Interpretation,administrative assistant,8,0.0005349023803155924
Accountability,bodyguard,8,0.0005349023803155924
Management,administrative assistant,8,0.0005349023803155924
Accountability,administrative assistant,8,0.0005349023803155924
Language Interpretation,bodyguard,8,0.0005349023803155924
English Language,administrative assistant,8,0.0005349023803155924
Professionalism,bodyguard,8,0.0005349023803155924
Communications,administrative assistant,8,0.0005349023803155924
Planning,electrical engineer,8,0.0005349023803155924
Production Schedule,electrical engineer,8,0.0005349023803155924
Performance Management,electrical engineer,8,0.0005349023803155924
English Language,defence administration officer,8,0.0005349023803155924
Communications,electrical engineer,8,0.0005349023803155924
Finance,administrative assistant,8,0.0005349023803155924
Electric Power Systems,electrical engineer,8,0.0005349023803155924
Field Service Management,administrative assistant,8,0.0005349023803155924
Communications,exploration geologist,8,0.0005349023803155924
Quality Control,exploration geologist,8,0.0005349023803155924
Functional Skills Qualification,defence administration officer,8,0.0005349023803155924
Computer Literacy,bodyguard,8,0.0005349023803155924
Office Management,administrative assistant,8,0.0005349023803155924
Exploitation,bodyguard,8,0.0005349023803155924
Communications,regional development policy officer,8,0.0005349023803155924
Communications,programme manager,8,0.0005349023803155924
Field Service Management,bodyguard,8,0.0005349023803155924
Electrical Engineering,electrical engineer,8,0.0005349023803155924
Field Service Management,defence administration officer,8,0.0005349023803155924
Professionalism,electrical engineer,8,0.0005349023803155924
Standard Operating Procedure,bodyguard,8,0.0005349023803155924
Design Modification,electrical engineer,8,0.0005349023803155924
Computer Literacy,administrative assistant,8,0.0005349023803155924
Administrative Law,administrative assistant,8,0.0005349023803155924
Language Interpretation,hearse driver,7,0.0004680395827761434
Accountability,hearse driver,7,0.0004680395827761434
Professionalism,defence administration officer,7,0.0004680395827761434
Accountability,defence administration officer,7,0.0004680395827761434
Environment Health And Safety,exploration geologist,7,0.0004680395827761434
Sexual Harassment Awareness,hearse driver,7,0.0004680395827761434
Decision Making,administrative assistant,7,0.0004680395827761434
Decision Making,bodyguard,7,0.0004680395827761434
Mathematics,early years teacher,7,0.0004680395827761434
Analytical Thinking,hearse driver,7,0.0004680395827761434
International Standards,bodyguard,7,0.0004680395827761434
Changing Oil,hearse driver,7,0.0004680395827761434
Coordinating,programme manager,7,0.0004680395827761434
Operations,programme manager,7,0.0004680395827761434
Teamwork,administrative assistant,7,0.0004680395827761434
Exploitation,hearse driver,7,0.0004680395827761434
Oil And Gas,hearse driver,7,0.0004680395827761434
Planning,répétiteur,7,0.0004680395827761434
Teamwork,hearse driver,7,0.0004680395827761434
Functional Skills Qualification,hearse driver,7,0.0004680395827761434
Teamwork,bodyguard,7,0.0004680395827761434
Communications,secondary school teacher,7,0.0004680395827761434
Administrative Support,administrative assistant,7,0.0004680395827761434
Planning,programme manager,7,0.0004680395827761434
Organizational Awareness,bodyguard,7,0.0004680395827761434
Communications,chef,7,0.0004680395827761434
Communications,hearse driver,7,0.0004680395827761434
Organizational Awareness,hearse driver,7,0.0004680395827761434
Field Service Management,hearse driver,7,0.0004680395827761434
Organizational Awareness,administrative assistant,7,0.0004680395827761434
Tires,hearse driver,7,0.0004680395827761434
Planning,hearse driver,7,0.0004680395827761434
Brakes,hearse driver,7,0.0004680395827761434
Planning,administrative assistant,7,0.0004680395827761434
Program Management,programme manager,7,0.0004680395827761434
Professionalism,hearse driver,7,0.0004680395827761434
English Language,hearse driver,7,0.0004680395827761434
English Language,secondary school teacher,7,0.0004680395827761434
Operations,defence administration officer,6,0.0004011767852366943
Teamwork,defence administration officer,6,0.0004011767852366943
Needs Assessment,bodyguard,6,0.0004011767852366943
Negotiation,defence administration officer,6,0.0004011767852366943
Writing,exploration geologist,6,0.0004011767852366943
Project Management,project manager,6,0.0004011767852366943
Operations,technical director,6,0.0004011767852366943
Stakeholder Management,defence administration officer,6,0.0004011767852366943
Exploitation,programme manager,6,0.0004011767852366943
Operations Management,exploration geologist,6,0.0004011767852366943
Organizational Awareness,defence administration officer,6,0.0004011767852366943
Finance,financial analyst,6,0.0004011767852366943
Stakeholder Management,bodyguard,6,0.0004011767852366943
Communications,ICT technician,6,0.0004011767852366943
Teaching Certificate,early years teacher,6,0.0004011767852366943
Finance,répétiteur,6,0.0004011767852366943
Leadership,exploration geologist,6,0.0004011767852366943
Finance,programme manager,6,0.0004011767852366943
Communications,programme funding manager,6,0.0004011767852366943
AutoCAD,robotics engineer,6,0.0004011767852366943
Information Gathering,bodyguard,6,0.0004011767852366943
Presentations,exploration geologist,6,0.0004011767852366943
Accounting,accountant,6,0.0004011767852366943
Analytical Thinking,administrative assistant,6,0.0004011767852366943
Enthusiasm,secondary school teacher,6,0.0004011767852366943
English Language,programme manager,6,0.0004011767852366943
Wonderware,robotics engineer,6,0.0004011767852366943
Enterprise Resource Planning,administrative assistant,5,0.00033431398769724526
Operations,economic development coordinator,5,0.00033431398769724526
Planning,industrial maintenance supervisor,5,0.00033431398769724526
Project Management,programme manager,5,0.00033431398769724526
Finance,accounting assistant,5,0.00033431398769724526
Leadership,technical director,5,0.00033431398769724526
Operations Management,defence administration officer,5,0.00033431398769724526
Office Supply Management,administrative assistant,5,0.00033431398769724526
Planning,economic development coordinator,5,0.00033431398769724526
Communications,human resources manager,5,0.00033431398769724526
Geologic Mapping,exploration geologist,5,0.00033431398769724526
Geophysical Data,exploration geologist,5,0.00033431398769724526
Geology,exploration geologist,5,0.00033431398769724526
Communications,industrial maintenance supervisor,5,0.00033431398769724526
Management,industrial engineer,5,0.00033431398769724526
Communications,industrial engineer,5,0.00033431398769724526
Bilingual (French/English),exploration geologist,5,0.00033431398769724526
Microsoft Word,regional development policy officer,5,0.00033431398769724526
French Language,economic development coordinator,5,0.00033431398769724526
Influencing Skills,economic development coordinator,5,0.00033431398769724526
PeopleSoft Applications,administrative assistant,5,0.00033431398769724526
Teaching Certificate,primary school teacher,5,0.00033431398769724526
Microsoft Excel,regional development policy officer,5,0.00033431398769724526
Cooperation,economic development coordinator,5,0.00033431398769724526
Coordinating,economic development coordinator,5,0.00033431398769724526
Arabic Language,répétiteur,5,0.00033431398769724526
French Language,accounting assistant,5,0.00033431398769724526
Post Graduate Certificate In Education (PGCE),early years teacher,5,0.00033431398769724526
Employee Relations,human resources manager,5,0.00033431398769724526
Professionalism,economic development coordinator,5,0.00033431398769724526
Mathematics Education,secondary school teacher,5,0.00033431398769724526
Analytical Thinking,bodyguard,5,0.00033431398769724526
Communications,financial analyst,5,0.00033431398769724526
Arabic Language,mine planning engineer,5,0.00033431398769724526
Management,project manager,5,0.00033431398769724526
Problem Solving,exploration geologist,5,0.00033431398769724526
Environmental Compliance,exploration geologist,5,0.00033431398769724526
Research,economic development coordinator,5,0.00033431398769724526
Succession Planning,electrical engineer,5,0.00033431398769724526
Management,technical director,5,0.00033431398769724526
Arabic Language,humanitarian advisor,5,0.00033431398769724526
Data Collection,economic development coordinator,5,0.00033431398769724526
Interpersonal Communications,secondary school teacher,5,0.00033431398769724526
Management,humanitarian advisor,5,0.00033431398769724526
Management,economic development coordinator,5,0.00033431398769724526
Labor Law,human resources manager,5,0.00033431398769724526
ESPRIT AutoCAD,répétiteur,5,0.00033431398769724526
English Language,economic development coordinator,5,0.00033431398769724526
English Language,accounting assistant,5,0.00033431398769724526
Communications,mine planning engineer,5,0.00033431398769724526
Program Management,defence administration officer,5,0.00033431398769724526
Economics,economic development coordinator,5,0.00033431398769724526
Bilingual (French/English),economic development coordinator,4,0.0002674511901577962
Reporting Tools,robotics engineer,4,0.0002674511901577962
Firefox,gaming dealer,4,0.0002674511901577962
Financial Management,fiscal affairs policy officer,4,0.0002674511901577962
Communications,human resources officer,4,0.0002674511901577962
Quality Management,project manager,4,0.0002674511901577962
Quick Learning,fiscal affairs policy officer,4,0.0002674511901577962
Filing,civil registrar,4,0.0002674511901577962
Filing,accounting assistant,4,0.0002674511901577962
Finance,accounting manager,4,0.0002674511901577962
Finance,accountant,4,0.0002674511901577962
Accounts Payable,accounting assistant,4,0.0002674511901577962
Troubleshooting (Problem Solving),embedded system designer,4,0.0002674511901577962
Planning,humanitarian advisor,4,0.0002674511901577962
Communications,health psychologist,4,0.0002674511901577962
Communications,head pastry chef,4,0.0002674511901577962
Organizational Skills,embedded system designer,4,0.0002674511901577962
French Language,bodyguard,4,0.0002674511901577962
Advising,economic development coordinator,4,0.0002674511901577962
Research Sources,economic development coordinator,4,0.0002674511901577962
French Language,hearse driver,4,0.0002674511901577962
French Language,mine planning engineer,4,0.0002674511901577962
Diplomacy,embedded system designer,4,0.0002674511901577962
Diplomacy,administrative assistant,4,0.0002674511901577962
Technical Services,technical director,4,0.0002674511901577962
Communications,project manager,4,0.0002674511901577962
Bilingual (French/English),embedded system designer,4,0.0002674511901577962
Base Transceiver Stations,embedded system designer,4,0.0002674511901577962
Planning,technical director,4,0.0002674511901577962
Field Service Management,civil registrar,4,0.0002674511901577962
Field Research,exploration geologist,4,0.0002674511901577962
Accounting,accounting assistant,4,0.0002674511901577962
Planning,monitoring and evaluation officer,4,0.0002674511901577962
