skill,title,count,standardized count
English Language,project manager,162,0.002145297560717218
Communications,project manager,159,0.0021055698281113437
Project Management,project manager,158,0.0020923272505760523
Arabic Language,project manager,149,0.0019731440527584287
Communications,promoter,139,0.0018407182774055142
Sales,commercial sales representative,136,0.0018009905447996398
Accounting,promoter,130,0.001721535079587891
Restaurant Operation,promoter,123,0.0016288370368408506
Planning,project manager,118,0.0015626241491643934
Coordinating,project manager,117,0.001549381571629102
Accounting,accountant,116,0.0015361389940938104
Management,project manager,114,0.0015096538390232275
Sales,promoter,113,0.001496411261487936
Marketing,promoter,107,0.0014169557962761873
English Language,promoter,84,0.0011123765129644834
Tactfulness,promoter,71,0.0009402230050056943
Marketing,commercial sales representative,68,0.0009004952723998199
Advocacy,project manager,68,0.0009004952723998199
Financial Statements,accountant,65,0.0008607675397939455
Sales,sales manager,63,0.0008342823847233625
English Language,accountant,62,0.0008210398071880711
Microsoft Office,promoter,60,0.0007945546521174881
Social Sciences,project manager,57,0.0007548269195116138
Finance,accounting assistant,57,0.0007548269195116138
Communications,public relations officer,57,0.0007548269195116138
Leadership,project manager,56,0.0007415843419763223
Computer Science,software developer,55,0.0007283417644410308
Project Cycle Management,project manager,54,0.0007150991869057393
Project Implementation,project manager,54,0.0007150991869057393
Bank Reconciliations,accountant,54,0.0007150991869057393
Finance,accountant,53,0.0007018566093704478
English Language,public relations officer,51,0.0006753714542998649
Accountability,project manager,50,0.0006621288767645735
English Language,accounting assistant,49,0.000648886299229282
Finance,financial controller,49,0.000648886299229282
Accounting,accounting assistant,49,0.000648886299229282
Marketing,sales manager,49,0.000648886299229282
Communications,monitoring and evaluation officer,48,0.0006356437216939906
Accountability,food technician,48,0.0006356437216939906
English Language,project support officer,48,0.0006356437216939906
Arabic Language,accounting assistant,47,0.000622401144158699
English Language,food technician,47,0.000622401144158699
Ethical Standards And Conduct,project manager,46,0.0006091585666234075
English Language,monitoring and evaluation officer,46,0.0006091585666234075
Relationship Building,audit supervisor,46,0.0006091585666234075
Accounting,financial controller,46,0.0006091585666234075
Coaching,audit supervisor,45,0.0005959159890881161
Communications,administrative assistant,44,0.0005826734115528246
Arabic Language,programme manager,43,0.0005694308340175332
English Language,programme manager,43,0.0005694308340175332
Arabic Language,monitoring and evaluation officer,43,0.0005694308340175332
Curiosity,audit supervisor,43,0.0005694308340175332
Interpersonal Communications,project manager,43,0.0005694308340175332
Innovation,audit supervisor,42,0.0005561882564822417
Problem Solving,project manager,42,0.0005561882564822417
Arabic Language,public relations officer,42,0.0005561882564822417
English Language,administrative assistant,42,0.0005561882564822417
Arabic Language,food technician,42,0.0005561882564822417
Communications,project support officer,42,0.0005561882564822417
Management,promoter,42,0.0005561882564822417
SQL (Programming Language),software developer,41,0.0005429456789469503
