skill,title,count,standardized count
Sales,sales manager,144,0.0022675736961451248
Accounting,accountant,130,0.0020471151423532377
Financial Statements,accountant,73,0.0011495338876291257
Sales,commercial sales representative,70,0.0011022927689594356
Project Management,project manager,64,0.0010078105316200555
Accounts Payable,accountant,59,0.0009290753338372386
Communications,sales manager,56,0.0008818342151675485
Finance,accountant,56,0.0008818342151675485
Marketing,marketing manager,55,0.0008660871756109851
Accounts Receivable,accountant,52,0.000818846056941295
Finance,financial manager,48,0.0007558578987150416
Sales,sales account manager,42,0.0006613756613756613
Invoicing,accountant,41,0.000645628621819098
Management,project manager,40,0.0006298815822625346
Management,sales manager,39,0.0006141345427059713
Auditing,accountant,39,0.0006141345427059713
Accounting,financial manager,38,0.0005983875031494079
Sales Management,sales manager,38,0.0005983875031494079
Marketing,sales manager,38,0.0005983875031494079
Restaurant Operation,waiter/waitress,37,0.0005826404635928445
Customer Service,sales manager,37,0.0005826404635928445
Sales,sales engineer,36,0.0005668934240362812
Marketing,digital marketing manager,36,0.0005668934240362812
Financial Statements,financial manager,36,0.0005668934240362812
Communications,executive assistant,34,0.0005353993449231545
Restaurant Operation,restaurant manager,33,0.0005196523053665911
Communications,marketing manager,32,0.0005039052658100278
English Language,sales manager,32,0.0005039052658100278
Detail Oriented,accountant,31,0.00048815822625346435
Restaurant Operation,chef,31,0.00048815822625346435
Warehousing,warehouse manager,31,0.00048815822625346435
Social Media,digital marketing manager,31,0.00048815822625346435
Planning,project manager,29,0.00045666414714033764
Accounting,accounting manager,29,0.00045666414714033764
General Ledger,accountant,29,0.00045666414714033764
English Language,executive assistant,28,0.0004409171075837742
Digital Marketing,digital marketing manager,27,0.00042517006802721087
Sales,business developer,27,0.00042517006802721087
Communications,project manager,27,0.00042517006802721087
Balance Sheet,accountant,26,0.0004094230284706475
Budgeting,financial manager,26,0.0004094230284706475
Management,executive assistant,26,0.0004094230284706475
Forecasting,accountant,26,0.0004094230284706475
Problem Solving,sales manager,26,0.0004094230284706475
Marketing Management,marketing manager,25,0.00039367598891408415
Accounting Software,accountant,25,0.00039367598891408415
Forecasting,financial manager,25,0.00039367598891408415
Search Engine Optimization,digital marketing manager,25,0.00039367598891408415
External Auditing,accountant,24,0.0003779289493575208
Communications,commercial sales representative,24,0.0003779289493575208
Financial Data,accountant,24,0.0003779289493575208
Mechanical Engineering,mechanical engineer,24,0.0003779289493575208
Marketing,sales account manager,23,0.00036218190980095744
Sales Prospecting,sales manager,23,0.00036218190980095744
Microsoft Excel,accountant,23,0.00036218190980095744
Business Development,ICT business development manager,23,0.00036218190980095744
Business Development,business developer,23,0.00036218190980095744
Management,financial manager,23,0.00036218190980095744
Purchasing,purchasing manager,23,0.00036218190980095744
Selling Techniques,sales manager,23,0.00036218190980095744
English Language,commercial sales representative,23,0.00036218190980095744
Leadership,project manager,23,0.00036218190980095744
Management,human resources manager,22,0.000346434870244394
Management,accountant,22,0.000346434870244394
Arabic Language,commercial sales representative,22,0.000346434870244394
Communications,waiter/waitress,21,0.00033068783068783067
Sales,ICT business development manager,21,0.00033068783068783067
Communications,recruitment consultant,21,0.00033068783068783067
Selling Techniques,commercial sales representative,21,0.00033068783068783067
Marketing,graphic designer,21,0.00033068783068783067
