skill,title,count,standardized count
Project Management,project manager,219,0.0012673097733309415
Communications,project manager,207,0.0011978681419155474
Management,project manager,190,0.001099492497410406
Coordinating,project manager,179,0.0010358376686129612
English Language,project manager,171,0.0009895432476693653
Planning,project manager,150,0.0008680203926924256
Arabic Language,project manager,133,0.000769644748187284
English Language,programme manager,132,0.0007638579455693346
Communications,programme manager,124,0.0007175635246257385
English Language,monitoring and evaluation officer,121,0.00070020311677189
Project Implementation,project manager,119,0.000688629511535991
Finance,project manager,109,0.000630761485356496
Communications,project support officer,108,0.0006249746827385465
Arabic Language,programme manager,107,0.000619187880120597
Finance,accounting assistant,102,0.0005902538670308495
Leadership,project manager,98,0.0005671066565590514
English Language,project support officer,97,0.0005613198539411019
Communications,monitoring and evaluation officer,97,0.0005613198539411019
Accountability,monitoring and evaluation officer,96,0.0005555330513231524
Nursing,specialist nurse,96,0.0005555330513231524
English Language,management assistant,95,0.000549746248705203
Management,programme manager,94,0.0005439594460872534
Coordinating,project support officer,94,0.0005439594460872534
Communications,management assistant,93,0.000538172643469304
Arabic Language,specialist nurse,90,0.0005208122356154554
Coordinating,programme manager,90,0.0005208122356154554
Accounting,accounting assistant,90,0.0005208122356154554
Project Management,programme manager,87,0.0005034518277616069
Accountability,project manager,86,0.0004976650251436573
Accountability,programme manager,84,0.0004860914199077584
Planning,project support officer,84,0.0004860914199077584
English Language,accounting assistant,83,0.00048030461728980887
Registered Nurse (RN),specialist nurse,83,0.00048030461728980887
Arabic Language,management assistant,82,0.00047451781467185936
Accountability,management assistant,82,0.00047451781467185936
Operations,project manager,82,0.00047451781467185936
Arabic Language,monitoring and evaluation officer,82,0.00047451781467185936
Nursing Care,specialist nurse,82,0.00047451781467185936
Finance,financial controller,80,0.00046294420943596035
Problem Solving,project manager,80,0.00046294420943596035
Arabic Language,project support officer,80,0.00046294420943596035
Management,monitoring and evaluation officer,79,0.00045715740681801084
Patient Safety,specialist nurse,78,0.00045137060420006133
Program Management,project manager,78,0.00045137060420006133
Basic Life Support (BLS) Certification,specialist nurse,78,0.00045137060420006133
Planning,monitoring and evaluation officer,78,0.00045137060420006133
Accounting,financial controller,77,0.0004455838015821118
Management,project support officer,76,0.0004397969989641623
Planning,programme manager,76,0.0004397969989641623
Communications,administrative assistant,75,0.0004340101963462128
Program Management,programme manager,75,0.0004340101963462128
Empathy,specialist nurse,74,0.0004282233937282633
Nursing Process,specialist nurse,74,0.0004282233937282633
Coordinating,monitoring and evaluation officer,74,0.0004282233937282633
English Language,administrative assistant,73,0.0004224365911103138
Critical Thinking,specialist nurse,73,0.0004224365911103138
Data Collection,monitoring and evaluation officer,73,0.0004224365911103138
