Skill,hierarchy_level_1,count_in_uae,count_in_us
.NET Development,1 - managers,2,6
.NET Development,2 - professionals,71,146
.NET Development,3 - technicians and associate professionals,3,1
.NET Framework,1 - managers,182,241
.NET Framework,2 - professionals,1992,2919
.NET Framework,3 - technicians and associate professionals,118,102
.NET Framework,4 - clerical support workers,15,11
.NET Framework,5 - service and sales workers,25,11
.NET Framework,"6 - skilled agricultural, forestry and fishery workers",2,0
.NET Framework,7 - craft and related trades workers,22,15
.NET Framework,8 - plant and machine operators and assemblers,8,24
.NET Framework,9 - elementary occupations,3,0
.NET Framework 3,2 - professionals,1,1
.NET Framework 4,3 - technicians and associate professionals,2,0
.NET MAUI (Multi-Platform App UI),2 - professionals,4,67
.NET Remoting,2 - professionals,1,0
.htaccess Files,1 - managers,1,0
.htaccess Files,2 - professionals,3,0
12 Volt Electricity,1 - managers,3,7
12 Volt Electricity,7 - craft and related trades workers,3,36
1Password,2 - professionals,1,23
1Password,5 - service and sales workers,1,0
2020 Design Software,3 - technicians and associate professionals,1,1
2D Animation,1 - managers,2,0
2D Animation,2 - professionals,61,6
2D Animation,3 - technicians and associate professionals,2,0
2D Computer Graphics,2 - professionals,22,3
2D Computer Graphics,3 - technicians and associate professionals,2,0
2D Computer-Aided Drafting And Design,1 - managers,4,0
2D Computer-Aided Drafting And Design,2 - professionals,59,67
2D Computer-Aided Drafting And Design,3 - technicians and associate professionals,28,5
2D Computer-Aided Drafting And Design,4 - clerical support workers,1,0
2D Computer-Aided Drafting And Design,7 - craft and related trades workers,2,9
2D Computer-Aided Drafting And Design,8 - plant and machine operators and assemblers,1,3
360-Degree Feedback,1 - managers,24,14
360-Degree Feedback,2 - professionals,46,10
360-Degree Feedback,3 - technicians and associate professionals,15,3
360-Degree Feedback,5 - service and sales workers,1,0
360-Degree Feedback,9 - elementary occupations,3,0
3D Animation,1 - managers,6,0
3D Animation,2 - professionals,156,34
3D Animation,3 - technicians and associate professionals,17,1
3D Animation,8 - plant and machine operators and assemblers,2,0
3D Art,2 - professionals,79,7
3D Art,3 - technicians and associate professionals,2,4
3D Art,7 - craft and related trades workers,1,0
3D Computer Graphics,1 - managers,1,4
3D Computer Graphics,2 - professionals,49,87
3D Computer Graphics,3 - technicians and associate professionals,3,8
3D Computer Graphics,7 - craft and related trades workers,1,1
3D Computer Graphics,8 - plant and machine operators and assemblers,4,1
3D Computer Graphics Software,1 - managers,2,0
3D Computer Graphics Software,2 - professionals,80,12
3D Computer Graphics Software,3 - technicians and associate professionals,13,0
3D Computer Graphics Software,7 - craft and related trades workers,1,1
3D Conformal Radiotherapy (3DCRT),3 - technicians and associate professionals,3,1
3D Graphic Design,2 - professionals,26,0
3D Graphic Design,3 - technicians and associate professionals,3,0
3D Graphic Design,8 - plant and machine operators and assemblers,1,0
3D Modeling,1 - managers,142,44
3D Modeling,2 - professionals,2108,946
3D Modeling,3 - technicians and associate professionals,607,197
3D Modeling,4 - clerical support workers,9,2
3D Modeling,5 - service and sales workers,16,4
3D Modeling,7 - craft and related trades workers,88,73
3D Modeling,8 - plant and machine operators and assemblers,24,27
3D Modeling,9 - elementary occupations,8,0
3D Modeling Software,1 - managers,5,3
3D Modeling Software,2 - professionals,283,102
3D Modeling Software,3 - technicians and associate professionals,55,11
3D Modeling Software,4 - clerical support workers,1,0
3D Modeling Software,5 - service and sales workers,3,0
3D Modeling Software,7 - craft and related trades workers,11,8
3D Modeling Software,8 - plant and machine operators and assemblers,3,2
3D Modeling Software,9 - elementary occupations,1,0
3D Production,1 - managers,1,1
3D Production,2 - professionals,2,2
3D Production,3 - technicians and associate professionals,1,8
3D Projection,3 - technicians and associate professionals,3,0
3D Reconstruction,2 - professionals,5,36
3D Rendering,1 - managers,8,3
3D Rendering,2 - professionals,97,77
3D Rendering,3 - technicians and associate professionals,56,19
3D Rendering,"6 - skilled agricultural, forestry and fishery workers",1,0
3D Rendering,7 - craft and related trades workers,1,2
3D Scanning,1 - managers,8,0
3D Scanning,2 - professionals,31,18
3D Scanning,3 - technicians and associate professionals,7,6
3D Scanning,7 - craft and related trades workers,5,0
3D Visualization,2 - professionals,27,4
3D Visualization,3 - technicians and associate professionals,8,0
3D Visualization,8 - plant and machine operators and assemblers,1,0
3GPP (Telecommunication),2 - professionals,40,30
3GPP (Telecommunication),3 - technicians and associate professionals,3,6
3GPP (Telecommunication),7 - craft and related trades workers,2,9
3GPP2 (Telecommunication),2 - professionals,26,0
3M Codefinder,3 - technicians and associate professionals,9,0
3rd Party Systems Integration,1 - managers,7,4
3rd Party Systems Integration,2 - professionals,11,14
3rd Party Systems Integration,3 - technicians and associate professionals,6,1
4D Modeling (Construction),2 - professionals,2,0
529 College Savings Planning,1 - managers,2,54
56 Kbit/S Modems,2 - professionals,1,2
5G Technology,1 - managers,66,149
5G Technology,2 - professionals,195,497
5G Technology,3 - technicians and associate professionals,50,92
5G Technology,4 - clerical support workers,36,143
5G Technology,5 - service and sales workers,41,12
5G Technology,7 - craft and related trades workers,31,42
5G Technology,8 - plant and machine operators and assemblers,5,17
5G Technology,9 - elementary occupations,2,1
5S Methodology,1 - managers,1,0
5S Methodology,2 - professionals,8,12
5S Methodology,3 - technicians and associate professionals,4,3
5S Methodology,5 - service and sales workers,1,1
64bit,2 - professionals,2,25
64bit,4 - clerical support workers,1,54
64bit,5 - service and sales workers,1,1
64bit,7 - craft and related trades workers,1,2
A/B Testing,1 - managers,525,380
A/B Testing,2 - professionals,587,723
A/B Testing,3 - technicians and associate professionals,78,49
A/B Testing,4 - clerical support workers,14,19
A/B Testing,5 - service and sales workers,16,7
A/B Testing,"6 - skilled agricultural, forestry and fishery workers",4,1
A/B Testing,7 - craft and related trades workers,2,2
AAA Server (Authentication Authorization And Accounting),1 - managers,2,1
AAA Server (Authentication Authorization And Accounting),2 - professionals,17,48
AAA Server (Authentication Authorization And Accounting),3 - technicians and associate professionals,4,3
AAA Video Games,2 - professionals,25,57
AC Motors,1 - managers,6,0
AC Motors,2 - professionals,43,29
AC Motors,3 - technicians and associate professionals,14,33
AC Motors,5 - service and sales workers,3,0
AC Motors,7 - craft and related trades workers,11,20
AC Motors,8 - plant and machine operators and assemblers,4,0
AC Power Plugs And Sockets,1 - managers,11,0
AC Power Plugs And Sockets,2 - professionals,11,1
AC Power Plugs And Sockets,3 - technicians and associate professionals,18,4
AC Power Plugs And Sockets,5 - service and sales workers,8,0
AC Power Plugs And Sockets,7 - craft and related trades workers,14,6
