Date,Count of Green,Total Count of Scraped Jobs,Percentage of Green Jobs
1470,1,50,2.0
1924,60,672,8.93
1925,64,651,9.83
1926,61,432,14.12
1927,72,495,14.55
1928,74,484,15.29
1929,34,549,6.19
1930,57,508,11.22
1931,38,392,9.69
1969,3,64,4.69
1970,5,37,13.51
2001,1,10,10.0
2002,1,21,4.76
2003,4,16,25.0
2005,1,9,11.11
2006,2,17,11.76
2007,4,35,11.43
2008,0,93,0.0
2009,10,241,4.15
2010,53,603,8.79
2011,60,547,10.97
2012,108,836,12.92
2013,280,6652,4.21
2014,111,5173,2.15
2015,99,6320,1.57
2016,115,7502,1.53
2017,114,5229,2.18
2018,163,5753,2.83
2019,554,15523,3.57
2020,6001,184096,3.26
2021,20202,622380,3.25
2022,30020,863052,3.48
2023,28814,870204,3.31
2024,45744,895857,5.11
2025,28687,534602,5.37
