Country,Total # of jobs scraped per country,Count of Green Jobs per Country,Distribution of Green Jobs by Country
Iraq,52068,11844,22.75
Mauritania,1124,226,20.11
Sudan,15070,1684,11.17
Yemen,10271,1036,10.09
Somalia,24218,1841,7.6
Saudi Arabia,550081,38579,7.01
Qatar,309685,15692,5.07
Jordan,85615,3968,4.63
Syria,6055,269,4.44
Libya,7880,327,4.15
Morocco,85787,3158,3.68
Oman,197704,7213,3.65
United Arab Emirates,1152490,40458,3.51
Palestine,11316,384,3.39
Egypt,351282,11043,3.14
Algeria,39401,1221,3.1
Bahrain,99691,3057,3.07
Tunisia,91018,2442,2.68
Kuwait,492760,10886,2.21
Lebanon,158118,2655,1.68
