ESCO Job Title,Green Share,Non-Green Share
pig breeder,0.0,100.0
foam rubber mixer,0.0,100.0
wine fermenter,0.0,100.0
classical languages teacher secondary school,0.0,100.0
wholesale merchant in pharmaceutical goods,0.0,100.0
music producer,0.0,100.0
varnish maker,0.0,100.0
leather production planner,0.0,100.0
master coffee roaster,0.0,100.0
taxi controller,0.0,100.0
live animal transporter,0.0,100.0
lacquer maker,0.0,100.0
glass-blower,0.0,100.0
farrier,0.0,100.0
mover,0.0,100.0
textile finishing machine operator,0.0,100.0
footwear stitching machine operator,0.0,100.0
cider master,0.0,100.0
puppet designer,0.0,100.0
mortgage broker,0.0,100.0
casino cashier,0.0,100.0
nitroglycerin separator operator,0.0,100.0
wholesale merchant in electronic and telecommunications equipment parts,0.0,100.0
jewellery repairer,0.0,100.0
import export manager in electrical household appliances,0.0,100.0
vlogger,0.0,100.0
shiatsu practitioner,0.0,100.0
mayor,0.0,100.0
pyrotechnic designer,0.0,100.0
digital games tester,0.0,100.0
wholesale merchant in live animals,0.0,100.0
coppersmith,0.0,100.0
shoe repairer,0.0,100.0
coking furnace operator,0.0,100.0
footwear finishing and packing operator,0.0,100.0
textile product developer,0.0,100.0
printmaker,0.0,100.0
bespoke footwear technician,0.0,100.0
knitting machine operator,0.0,100.0
motorcycle instructor,0.0,100.0
cattle breeder,0.0,100.0
spinning textile technician,0.0,100.0
wood production supervisor,0.0,100.0
kosher slaughterer,0.0,100.0
social work practice educator,0.0,100.0
ICT accessibility tester,0.0,100.0
import export manager in agricultural machinery and equipment,0.0,100.0
engraving machine operator,0.0,100.0
tyre fitter,0.0,100.0
blanching operator,0.0,100.0
harpsichord maker,0.0,100.0
import export manager in office furniture,0.0,100.0
event scaffolder,0.0,100.0
consumer rights advisor,0.0,100.0
meat and products specialised seller,0.0,100.0
aquaculture harvesting worker,0.0,100.0
clothing sample machinist,0.0,100.0
tanner,0.0,100.0
linguistics lecturer,0.0,100.0
footwear quality manager,0.0,100.0
dance répétiteur,0.0,100.0
zoo registrar,0.0,100.0
herbal therapist,0.0,100.0
wholesale merchant in textiles and textile semi-finished raw materials,0.0,100.0
missionary,0.0,100.0
soap drier operator,0.0,100.0
aquaculture cage mooring worker,0.0,100.0
musical conductor,0.0,100.0
knitter,0.0,100.0
"import export specialist in agricultural raw materials, seeds and animal feeds",0.0,100.0
advertising installer,0.0,100.0
import export specialist in live animals,0.0,100.0
specialised outdoor animator,0.0,100.0
stone driller,0.0,100.0
dog breeder,0.0,100.0
wave soldering machine operator,0.0,100.0
tent installer,0.0,100.0
artistic coach,0.0,100.0
"wholesale merchant in fish, crustaceans and molluscs",0.0,100.0
glass polisher,0.0,100.0
cloak room attendant,0.0,100.0
pottery and porcelain caster,0.0,100.0
nonwoven filament machine operator,0.0,100.0
coagulation operator,0.0,100.0
textile shop manager,0.0,100.0
embroiderer,0.0,100.0
scraper operator,0.0,100.0
bookshop manager,0.0,100.0
property insurance underwriter,0.0,100.0
leather laboratory technician,0.0,100.0
equine dental technician,0.0,100.0
animal chiropractor,0.0,100.0
toys and games specialised seller,0.0,100.0
jeweller,0.0,100.0
leather goods hand stitcher,0.0,100.0
philosopher,0.0,100.0
community care case worker,0.0,100.0
sauce production operator,0.0,100.0
assistant outdoor animator,0.0,100.0
guitar maker,0.0,100.0
puppeteer,0.0,100.0
vineyard cellar master,0.0,100.0
pet sitter,0.0,100.0
dance therapist,0.0,100.0
footwear production machine operator,0.0,100.0
senator,0.0,100.0
import export specialist in machine tools,0.0,100.0
barber,0.0,100.0
residential home adult care worker,0.0,100.0
sheep breeder,0.0,100.0
gemmologist,0.0,100.0
weight loss consultant,0.0,100.0
occupational driving instructor,0.0,100.0
yarn spinner,0.0,100.0
clothing product grader,0.0,100.0
cosmetics production machine operator,0.0,100.0
vineyard manager,0.0,100.0
coffee taster,0.0,100.0
import export specialist in china and other glassware,0.0,100.0
print studio supervisor,0.0,100.0
musician,0.0,100.0
music therapist,0.0,100.0
chimney sweep,0.0,100.0
timber trader,0.0,100.0
wholesale merchant in office machinery and equipment,0.0,100.0
family social worker,0.0,100.0
rental service representative in video tapes and disks,0.0,100.0
surface miner,0.0,100.0
"import export manager in computers, computer peripheral equipment and software",0.0,100.0
hot foil operator,0.0,100.0
stand-up comedian,0.0,100.0
wholesale merchant in china and other glassware,0.0,100.0
envelope maker,0.0,100.0
leather goods finishing operator,0.0,100.0
leather wet processing department manager,0.0,100.0
probation officer,0.0,100.0
recreation model maker,0.0,100.0
optomechanical engineering technician,0.0,100.0
automotive brake technician,0.0,100.0
auger press operator,0.0,100.0
costume designer,0.0,100.0
grader operator,0.0,100.0
veneer slicer operator,0.0,100.0
malt kiln operator,0.0,100.0
leather goods quality technician,0.0,100.0
textile printer,0.0,100.0
special educational needs itinerant teacher,0.0,100.0
funeral attendant,0.0,100.0
shelf filler,0.0,100.0
ICT usability tester,0.0,100.0
hand packer,0.0,100.0
sign language teacher,0.0,100.0
lexicographer,0.0,100.0
pre-stitching machine operator,0.0,100.0
fibreglass machine operator,0.0,100.0
leather goods hand cutting operator,0.0,100.0
metal furniture machine operator,0.0,100.0
animal osteopath,0.0,100.0
stone planer,0.0,100.0
import export specialist in tobacco products,0.0,100.0
precious stone setter,0.0,100.0
rail switchperson,0.0,100.0
gambling quality assurance engineer,0.0,100.0
road roller operator,0.0,100.0
hand luggage inspector,0.0,100.0
rubber products machine operator,0.0,100.0
screen printer,0.0,100.0
finished leather warehouse manager,0.0,100.0
aquaculture husbandry worker,0.0,100.0
coffee grinder,0.0,100.0
laminating machine operator,0.0,100.0
miniature set designer,0.0,100.0
horse breeder,0.0,100.0
carpet fitter,0.0,100.0
"import export manager in mining, construction and civil engineering machinery",0.0,100.0
import export manager in dairy products and edible oils,0.0,100.0
import export manager in textile industry machinery,0.0,100.0
glass engraver,0.0,100.0
bicycle assembler,0.0,100.0
astrologer,0.0,100.0
baking operator,0.0,100.0
jewellery mounter,0.0,100.0
leather goods manufacturing technician,0.0,100.0
court bailiff,0.0,100.0
textile quality manager,0.0,100.0
ceramic painter,0.0,100.0
hospital social worker,0.0,100.0
violin maker,0.0,100.0
absorbent pad machine operator,0.0,100.0
leather goods quality controller,0.0,100.0
leaf sorter,0.0,100.0
ski instructor,0.0,100.0
lumber grader,0.0,100.0
paperboard products assembler,0.0,100.0
import export manager in fruit and vegetables,0.0,100.0
stage machinist,0.0,100.0
personal property appraiser,0.0,100.0
survival instructor,0.0,100.0
import export manager in watches and jewellery,0.0,100.0
cooper,0.0,100.0
costume buyer,0.0,100.0
perfume production machine operator,0.0,100.0
router operator,0.0,100.0
cacao beans cleaner,0.0,100.0
swaging machine operator,0.0,100.0
porcelain painter,0.0,100.0
clothing CAD technician,0.0,100.0
groom,0.0,100.0
mine mechanical engineer,0.0,100.0
cake press operator,0.0,100.0
animal physiotherapist,0.0,100.0
meat preparations operator,0.0,100.0
storyboard artist,0.0,100.0
followspot operator,0.0,100.0
wood assembly supervisor,0.0,100.0
kosher butcher,0.0,100.0
curing room worker,0.0,100.0
aromatherapist,0.0,100.0
slate mixer,0.0,100.0
prompter,0.0,100.0
performance hairdresser,0.0,100.0
notary,0.0,100.0
betting manager,0.0,100.0
hunter,0.0,100.0
meat cutter,0.0,100.0
band saw operator,0.0,100.0
genealogist,0.0,100.0
hide grader,0.0,100.0
set buyer,0.0,100.0
import export manager in live animals,0.0,100.0
shoemaker,0.0,100.0
animal assisted therapist,0.0,100.0
spring maker,0.0,100.0
precast moulder,0.0,100.0
plastic heat treatment equipment operator,0.0,100.0
chocolatier,0.0,100.0
video artist,0.0,100.0
criminologist,0.0,100.0
leaflet distributor,0.0,100.0
cotton gin operator,0.0,100.0
art therapist,0.0,100.0
psychic,0.0,100.0
coquille casting worker,0.0,100.0
leather goods designer,0.0,100.0
script supervisor,0.0,100.0
body artist,0.0,100.0
leather production machine operator,0.0,100.0
staircase installer,0.0,100.0
hairdresser assistant,0.0,100.0
import export manager in tobacco products,0.0,100.0
coachbuilder,0.0,100.0
aircraft engine tester,0.0,100.0
prison instructor,0.0,100.0
import export specialist in clothing and footwear,0.0,100.0
keyboard musical instrument maker,0.0,100.0
malt house supervisor,0.0,100.0
tracer powder blender,0.0,100.0
circus arts teacher,0.0,100.0
yeast distiller,0.0,100.0
braiding textile technician,0.0,100.0
halal slaughterer,0.0,100.0
"import export specialist in sugar, chocolate and sugar confectionery",0.0,100.0
palaeontologist,0.0,100.0
glass painter,0.0,100.0
court reporter,0.0,100.0
stringed musical instrument maker,0.0,100.0
prop master/prop mistress,0.0,100.0
brush maker,0.0,100.0
building exterior cleaner,0.0,100.0
mattress maker,0.0,100.0
foreclosure specialist,0.0,100.0
choreologist,0.0,100.0
carpet handicraft worker,0.0,100.0
drawing kiln operator,0.0,100.0
lime kiln operator,0.0,100.0
pilates teacher,0.0,100.0
make-up and hair designer,0.0,100.0
crowd controller,0.0,100.0
mask maker,0.0,100.0
crime journalist,0.0,100.0
rental service representative in agricultural machinery and equipment,0.0,100.0
wearing apparel presser,0.0,100.0
cocoa press operator,0.0,100.0
library assistant,0.0,100.0
import export manager in wood and construction materials,0.0,100.0
steeplejack,0.0,100.0
archaeology lecturer,0.0,100.0
piano maker,0.0,100.0
court administrative officer,0.0,100.0
prop maker,0.0,100.0
lyricist,0.0,100.0
vineyard worker,0.0,100.0
big data archive librarian,0.0,100.0
crossing guard,0.0,100.0
classical languages lecturer,0.0,100.0
train conductor,0.0,100.0
"import export specialist in fish, crustaceans and molluscs",0.0,100.0
"import export manager in coffee, tea, cocoa and spices",0.0,100.0
footwear production manager,0.0,100.0
doll maker,0.0,100.0
leather goods production supervisor,0.0,100.0
footwear 3D developer,0.0,100.0
import export manager in beverages,0.0,100.0
wholesale merchant in dairy products and edible oils,0.0,100.0
fruit-press operator,0.0,100.0
insurance collector,0.0,100.0
clay products dry kiln operator,0.0,100.0
desktop publisher,0.0,100.0
leather production manager,0.0,100.0
forestry inspector,0.0,100.0
social work lecturer,0.0,100.0
music and video shop manager,0.0,100.0
second-hand goods specialised seller,0.0,100.0
hairdressing vocational teacher,0.0,100.0
belt builder,0.0,100.0
motor vehicle upholsterer,0.0,100.0
cacao bean roaster,0.0,100.0
rolling stock engine tester,0.0,100.0
fruit and vegetable canner,0.0,100.0
asbestos abatement worker,0.0,100.0
snowboard instructor,0.0,100.0
basketmaker,0.0,100.0
art handler,0.0,100.0
leather goods production manager,0.0,100.0
fat-purification worker,0.0,100.0
fur animals breeder,0.0,100.0
cattle pedicure,0.0,100.0
dresser,0.0,100.0
animal massage therapist,0.0,100.0
mechanical forging press worker,0.0,100.0
moulding machine operator,0.0,100.0
wholesale merchant in textile industry machinery,0.0,100.0
tour operator manager,0.0,100.0
precious stone cutter,0.0,100.0
railway sales agent,0.0,100.0
distillery miller,0.0,100.0
harvest diver,0.0,100.0
horse riding instructor,0.0,100.0
nonwoven staple machine operator,0.0,100.0
special educational needs teacher,0.0,100.0
disc jockey,0.0,100.0
set builder,0.0,100.0
leather goods artisanal worker,0.0,100.0
pet and food specialised seller,0.0,100.0
"import export manager in furniture, carpets and lighting equipment",0.0,100.0
child care worker,0.0,100.0
on foot aquatic resources collector,0.0,100.0
music and video shop specialised seller,0.0,100.0
leaf tier,0.0,100.0
frame maker,0.0,100.0
candle maker,0.0,100.0
fermenter operator,0.0,100.0
"wholesale merchant in hides, skins and leather products",0.0,100.0
performing arts school dance instructor,0.0,100.0
distillery worker,0.0,100.0
liquor blender,0.0,100.0
honey extractor,0.0,100.0
precision instrument assembler,0.0,100.0
animal therapist,0.0,100.0
glass artist,0.0,100.0
printed circuit board assembler,0.0,100.0
wax bleacher,0.0,100.0
funeral services director,0.0,100.0
production potter,0.0,100.0
second-hand shop manager,0.0,100.0
import export manager in china and other glassware,0.0,100.0
aquaculture husbandry technician,0.0,100.0
alternative animal therapist,0.0,100.0
rental service representative in recreational and sports goods,0.0,100.0
leather goods product developer,0.0,100.0
slitter operator,0.0,100.0
straightening machine operator,0.0,100.0
braiding machine operator,0.0,100.0
oil rig motorhand,0.0,100.0
user experience analyst,0.0,100.0
drug and alcohol addiction counsellor,0.0,100.0
goldsmith,0.0,100.0
equine worker,0.0,100.0
kennel worker,0.0,100.0
knitting textile technician,0.0,100.0
footwear patternmaker,0.0,100.0
paper embossing press operator,0.0,100.0
cocoa mill operator,0.0,100.0
sculptor,0.0,100.0
voice-over artist,0.0,100.0
anodising machine operator,0.0,100.0
insurance fraud investigator,0.0,100.0
aircraft de-icer installer,0.0,100.0
harp maker,0.0,100.0
sign language interpreter,0.0,100.0
import export manager in household goods,0.0,100.0
polygraph examiner,0.0,100.0
masseur/masseuse,0.0,100.0
weaving machine operator,0.0,100.0
train attendant,0.0,100.0
import export manager in waste and scrap,0.0,100.0
hardwood floor layer,0.0,100.0
train dispatcher,0.0,100.0
governor,0.0,100.0
newspaper editor,0.0,100.0
cylindrical grinder operator,0.0,100.0
