ESCO Job Title,Green Demand
footwear factory warehouse operator,1
canvas goods assembler,1
leather goods warehouse operator,1
photography teacher,1
chromatographer,1
fisheries observer,1
social security inspector,1
fishing software maker,1
wind musical instrument maker,1
"import export specialist in computers, peripheral equipment and software",1
"wholesale merchant in furniture, carpets and lighting equipment",1
import export specialist in waste and scrap,1
import export specialist in metals and metal ores,1
stone engraver,1
delicatessen specialised seller,1
medium,1
"computer games, multimedia and software specialised seller",1
tool grinder,1
dairy products maker,1
stamping press operator,1
"wholesale merchant in agricultural raw materials, seeds and animal feeds",1
leather finishing operator,1
metallurgist,1
intelligent lighting engineer,1
court clerk,1
lottery operator,1
hawker,1
passport officer,1
milk heat treatment process operator,1
paper pulp moulding operator,1
animal behaviourist,1
textile industry machinery distribution manager,1
fish canning operator,1
hop farmer,1
wholesale merchant in waste and scrap,1
taxidermist,1
nanoengineer,1
art model,1
colour sampling operator,1
resilient floor layer,1
glass annealer,1
wholesale merchant in fruit and vegetables,1
canning and bottling line operator,1
stagehand,1
mixed farmer,1
tiling supervisor,1
footwear assembly supervisor,1
jewellery engraver,1
clothing CAD patternmaker,1
aquaculture hatchery technician,1
entertainment journalist,1
electromechanical drafter,1
stage manager,1
V-belt builder,1
industrial mobile devices software developer,1
engineered wood board grader,1
coastguard watch officer,1
craft shop manager,1
thread rolling machine operator,1
outdoor animator,1
vineyard supervisor,1
foundry operative,1
street warden,1
gerontology social worker,1
social worker,1
terrazzo setter supervisor,1
shotfirer,1
furniture upholsterer,1
sewing machine operator,1
religious studies lecturer,1
engineered wood board machine operator,1
optoelectronic engineering technician,1
import export specialist in dairy products and edible oils,1
deep-sea fishery worker,1
vessel steering instructor,1
decksman,1
wine sommelier,1
terrazzo setter,1
Steiner school teacher,1
residential home young people care worker,1
textile machine operator,1
driving instructor,1
sport administrator,1
early years special educational needs teacher,1
podiatry assistant,1
drop forging hammer worker,1
imagesetter,1
fisheries master,1
filigree maker,1
tyre vulcaniser,1
tanning consultant,1
jewellery designer,1
pulp technician,1
wearing apparel patternmaker,1
slaughterer,1
audio and video equipment shop manager,1
septic tank servicer,1
microelectronics designer,1
hospital porter,1
farm milk controller,1
blockchain developer,1
lottery manager,1
man-made fiber spinner,1
homelessness worker,1
spinning machine operator,1
futures trader,1
bicycle shop manager,1
fundraising assistant,1
chaplain,1
forest ranger,1
material stress analyst,1
dentistry lecturer,1
photographic equipment assembler,1
choreographer,1
embroidery machine operator,1
minister of religion,1
art restorer,1
lithographer,1
print folding operator,1
commercial pilot,1
hairdresser,1
patent engineer,1
post-production supervisor,1
paperhanger,1
vermouth manufacturer,1
aquaculture recirculation manager,1
level crossing signalperson,1
clothing finisher,1
confectioner,1
clothing operations manager,1
hydraulic forging press worker,1
"import export specialist in hardware, plumbing and heating equipment",1
metal drawing machine operator,1
toxicologist,1
3D animator,1
"import export manager in machinery, industrial equipment, ships and aircraft",1
vending machine operator,1
cigar inspector,1
religious education teacher at secondary school,1
candy machine operator,1
medical device assembler,1
aviation meteorologist,1
record press operator,1
blow moulding machine operator,1
wood fuel pelletiser,1
election observer,1
ticket issuing clerk,1
prosthetic-orthotics technician,1
court administrator,1
footwear product developer,1
snow-clearing worker,1
life coach,1
school bus attendant,1
usher,1
live animals distribution manager,1
media integration operator,1
screen making technician,1
education studies lecturer,1
footwear quality control laboratory technician,1
"wholesale merchant in coffee, tea, cocoa and spices",1
gambling games designer,1
marine painter,1
tanning technician,1
import export specialist in textile industry machinery,1
wholesale merchant in office furniture,1
stop-motion animator,1
import export specialist in electrical household appliances,1
securities broker,1
textile sourcing merchandiser,1
paper stationery machine operator,1
shipbroker,1
tower crane operator,1
laser marking machine operator,1
helmsman,1
plastic furniture machine operator,1
automated optical inspection operator,1
audio and video equipment specialised seller,1
central bank governor,1
animal hydrotherapist,1
armoured car driver,1
literary scholar,1
electronic musical instrument maker,1
boring machine operator,1
upholsterer,1
pharmacy lecturer,1
matrose,1
drapery and carpet cleaner,1
co-pilot,1
flower and garden specialised seller,1
social security administrator,1
post office counter clerk,1
photojournalist,1
railway car upholsterer,1
tobacco products distribution manager,1
leather measuring operator,1
wicker furniture maker,1
import export specialist in textiles and textile semi-finished raw materials,1
dismantling engineer,1
leather goods CAD patternmaker,1
"fish, crustaceans and molluscs distribution manager",1
kinesiologist,1
roofer,1
mattress making machine operator,1
metal additive manufacturing operator,1
spark erosion machine operator,1
nanny,1
fortune teller,1
jewellery and watches specialised seller,1
proofreader,1
microelectronics engineering technician,1
colour sampling technician,1
digital literacy teacher,1
motorcycle delivery person,1
secretary of state,1
leather goods quality control laboratory technician,1
animal trainer,1
singer,1
orthopaedic supply shop manager,1
