year,energy not green,energy and green,total energy,Green Jobs in the Energy Sector
1470,4,0,4,0.0
1924,47,14,61,22.95
1925,42,18,60,30.0
1926,36,17,53,32.08
1927,39,17,56,30.36
1928,37,20,57,35.09
1929,42,5,47,10.64
1930,51,14,65,21.54
1931,29,13,42,30.95
1969,2,0,2,0.0
1970,2,3,5,60.0
2001,1,0,1,0.0
2002,1,0,1,0.0
2003,1,0,1,0.0
2005,0,0,0,NaN
2006,1,0,1,0.0
2007,1,0,1,0.0
2008,5,0,5,0.0
2009,26,3,29,10.34
2010,48,7,55,12.73
2011,70,14,84,16.67
2012,122,36,158,22.78
2013,566,96,662,14.5
2014,246,31,277,11.19
2015,208,25,233,10.73
2016,245,19,264,7.2
2017,200,46,246,18.7
2018,242,37,279,13.26
2019,854,129,983,13.12
2020,7026,1696,8722,19.45
2021,29495,7026,36521,19.24
2022,34386,10934,45320,24.13
2023,35705,10846,46551,23.3
2024,38122,15665,53787,29.12
2025,23401,11366,34767,32.69
