Green Occupations within the Energy Sector,Share of Green per Occupation,Share of Non-Green per Occupation,posts count
specialised antique dealer,100.0,0.0,2
fisheries adviser,100.0,0.0,2
pesticide mixer,100.0,0.0,1
palliative care social worker,100.0,0.0,1
club host/club hostess,100.0,0.0,8
import export manager in metals and metal ores,100.0,0.0,3
furniture restorer,100.0,0.0,1
drop forging hammer worker,100.0,0.0,1
weaving textile technician,100.0,0.0,1
wholesale merchant in waste and scrap,100.0,0.0,1
drainage worker,100.0,0.0,4
supreme court judge,100.0,0.0,2
chiropractic assistant,100.0,0.0,1
miller,100.0,0.0,1
cigar inspector,100.0,0.0,1
veterinary medicine lecturer,100.0,0.0,1
jewellery engraver,100.0,0.0,1
biologist,100.0,0.0,3
road marker,100.0,0.0,1
metrologist,100.0,0.0,1
surface grinding machine operator,100.0,0.0,10
sewerage systems manager,100.0,0.0,7
climatologist,100.0,0.0,10
occupational railway instructor,100.0,0.0,1
tobacco products distribution manager,100.0,0.0,1
optoelectronic engineer,100.0,0.0,1
roofer,100.0,0.0,1
fruit and vegetable preserver,100.0,0.0,1
aquaculture rearing technician,100.0,0.0,3
sensory scientist,100.0,0.0,1
jewellery designer,100.0,0.0,1
"wholesale merchant in agricultural raw materials, seeds and animal feeds",100.0,0.0,1
antique shop manager,100.0,0.0,4
picture editor,100.0,0.0,3
snow-clearing worker,100.0,0.0,1
museum scientist,100.0,0.0,1
rail intermodal equipment operator,100.0,0.0,1
paper pulp moulding operator,100.0,0.0,1
sexual violence counsellor,100.0,0.0,2
woodcarver,100.0,0.0,2
"import export manager in hardware, plumbing and heating equipment supplies",100.0,0.0,3
airport environment officer,100.0,0.0,3
hazardous waste technician,100.0,0.0,42
ammunition specialised seller,100.0,0.0,3
water conservation technician,100.0,0.0,5
substance misuse worker,100.0,0.0,1
clothing finisher,100.0,0.0,1
animal feed nutritionist,100.0,0.0,1
ecologist,100.0,0.0,37
exhibition registrar,100.0,0.0,1
prison officer,100.0,0.0,9
public housing manager,100.0,0.0,1
fertiliser mixer,100.0,0.0,5
biometrician,100.0,0.0,5
scrap metal operative,100.0,0.0,2
recycling worker,100.0,0.0,1
drama teacher,100.0,0.0,2
wind musical instrument maker,100.0,0.0,1
forestry adviser,100.0,0.0,2
fruit and vegetable picker,100.0,0.0,1
remote sensing technician,100.0,0.0,6
securities broker,100.0,0.0,1
sprinkler fitter,100.0,0.0,1
import export manager in electronic and telecommunications equipment parts,100.0,0.0,3
wholesale merchant in office furniture,100.0,0.0,1
window cleaner,100.0,0.0,2
textile industry machinery distribution manager,100.0,0.0,1
ombudsman,100.0,0.0,1
geothermal power plant operator,100.0,0.0,5
animal artificial insemination technician,100.0,0.0,3
housing policy officer,100.0,0.0,3
script writer,100.0,0.0,1
offset printer,100.0,0.0,4
curator of horticulture,100.0,0.0,3
environmental education officer,100.0,0.0,4
picture archiving and communication systems administrator,100.0,0.0,1
conservation scientist,100.0,0.0,9
sommelier,100.0,0.0,9
fishing software maker,100.0,0.0,1
railway car upholsterer,100.0,0.0,1
entertainment journalist,100.0,0.0,1
solar energy sales consultant,98.85057471264368,1.1494252873563218,87
environmental expert,98.06201550387597,1.937984496124031,258
forestry technician,97.72727272727273,2.272727272727273,44
environmental engineer,97.30458221024259,2.6954177897574128,371
solar energy engineer,97.1311475409836,2.8688524590163933,244
environmental technician,95.65217391304348,4.3478260869565215,23
environmental policy officer,94.73684210526315,5.263157894736842,76
environmental protection manager,92.85714285714286,7.142857142857142,98
renewable energy engineer,92.61363636363636,7.386363636363637,176
recycling specialist,91.66666666666666,8.333333333333332,12
environmental programme coordinator,91.61676646706587,8.383233532934131,167
geothermal engineer,90.9090909090909,9.090909090909092,11
waste management officer,90.47619047619048,9.523809523809524,21
watch and clock repairer,90.0,10.0,10
solar power plant operator,89.83050847457628,10.16949152542373,59
environmental scientist,89.13043478260869,10.869565217391305,46
geographer,88.88888888888889,11.11111111111111,9
dry house attendant,88.88888888888889,11.11111111111111,9
hazardous waste inspector,88.88888888888889,11.11111111111111,9
renewable energy consultant,88.43537414965986,11.564625850340136,147
environmental geologist,88.23529411764706,11.76470588235294,102
geneticist,87.6923076923077,12.307692307692308,65
rail operations manager,87.5,12.5,8
aquaculture site supervisor,87.5,12.5,16
ICT system tester,86.36363636363636,13.636363636363635,44
sustainability manager,86.1764705882353,13.823529411764707,340
kennel supervisor,85.71428571428571,14.285714285714285,14
marine biologist,84.61538461538461,15.384615384615385,26
golf instructor,84.21052631578947,15.789473684210526,19
green ICT consultant,84.21052631578947,15.789473684210526,19
chemical metallurgist,83.33333333333334,16.666666666666664,12
youth worker,83.33333333333334,16.666666666666664,12
laundry workers supervisor,83.33333333333334,16.666666666666664,6
stage director,83.33333333333334,16.666666666666664,6
waste broker,83.33333333333334,16.666666666666664,6
landfill supervisor,82.6086956521739,17.391304347826086,23
radiation protection technician,82.45614035087719,17.543859649122805,57
oceanographer,82.14285714285714,17.857142857142858,28
aquaculture hatchery manager,81.81818181818183,18.181818181818183,11
tourism contract negotiator,81.48148148148148,18.51851851851852,27
hazardous materials inspector,81.25,18.75,16
activism officer,80.0,20.0,5
music director,80.0,20.0,5
chimney sweep supervisor,80.0,20.0,5
import export specialist in agricultural machinery and equipment,80.0,20.0,5
food safety specialist,78.57142857142857,21.428571428571427,28
solar energy technician,78.44311377245509,21.55688622754491,167
rubber goods assembler,77.77777777777779,22.22222222222222,9
wood factory manager,77.77777777777779,22.22222222222222,9
performance lighting designer,77.77777777777779,22.22222222222222,27
air pollution analyst,77.27272727272727,22.727272727272727,44
hydrogeologist,76.92307692307693,23.076923076923077,26
agricultural scientist,76.47058823529412,23.52941176470588,17
mine health and safety engineer,76.19047619047619,23.809523809523807,21
hydrogenation machine operator,75.9493670886076,24.050632911392405,79
computer hardware repair technician,75.47169811320755,24.528301886792452,53
interpreter,75.0,25.0,8
fisheries deckhand,75.0,25.0,8
natural resources consultant,75.0,25.0,12
drain technician,75.0,25.0,8
paperhanger supervisor,75.0,25.0,4
aircraft interior technician,75.0,25.0,28
ICT environmental manager,75.0,25.0,4
animal feed supervisor,75.0,25.0,8
biochemical engineer,75.0,25.0,20
speech and language therapist,75.0,25.0,4
political journalist,75.0,25.0,4
aquaculture environmental analyst,75.0,25.0,12
digital games designer,75.0,25.0,4
gauger,75.0,25.0,4
emergency ambulance driver,74.28571428571429,25.71428571428571,105
granulator machine operator,74.07407407407408,25.925925925925924,27
agricultural technician,73.33333333333333,26.666666666666668,30
veterinary technician,73.33333333333333,26.666666666666668,15
general veterinarian,73.07692307692307,26.923076923076923,26
biogas technician,73.07692307692307,26.923076923076923,26
wire harness assembler,72.72727272727273,27.27272727272727,11
crop production manager,72.72727272727273,27.27272727272727,11
director of photography,72.72727272727273,27.27272727272727,11
clinical perfusion scientist,72.22222222222221,27.77777777777778,18
museum director,72.22222222222221,27.77777777777778,18
landscape architect,72.22222222222221,27.77777777777778,54
distillation operator,72.1311475409836,27.86885245901639,61
air traffic safety technician,72.0,28.000000000000004,50
metal production manager,71.42857142857143,28.57142857142857,21
microbiologist,71.42857142857143,28.57142857142857,21
typesetter,71.42857142857143,28.57142857142857,7
aquaculture mooring manager,71.42857142857143,28.57142857142857,7
hydrologist,71.05263157894737,28.947368421052634,38
centrifuge operator,70.96774193548387,29.03225806451613,31
agricultural equipment design engineer,70.0,30.0,50
rubber technologist,70.0,30.0,20
biomedical scientist,69.23076923076923,30.76923076923077,26
kitchen and bathroom shop manager,68.80733944954129,31.19266055045872,109
hospitality establishment security officer,68.75,31.25,16
surface treatment operator,68.75,31.25,16
marine chief engineer,68.10244470314319,31.89755529685681,859
reprographics technician,67.70833333333334,32.29166666666667,96
jewellery polisher,67.64705882352942,32.35294117647059,34
drainage engineer,67.24137931034483,32.758620689655174,58
import export manager in chemical products,66.66666666666666,33.33333333333333,6
sociology lecturer,66.66666666666666,33.33333333333333,3
audiologist,66.66666666666666,33.33333333333333,3
city councillor,66.66666666666666,33.33333333333333,30
sole and heel operator,66.66666666666666,33.33333333333333,3
ship steward/ship stewardess,66.66666666666666,33.33333333333333,3
paper machine operator,66.66666666666666,33.33333333333333,3
commercial art gallery manager,66.66666666666666,33.33333333333333,12
scenic painter,66.66666666666666,33.33333333333333,9
urban planner,66.66666666666666,33.33333333333333,60
automated fly bar operator,66.66666666666666,33.33333333333333,3
mutual fund broker,66.66666666666666,33.33333333333333,3
mountain guide,66.66666666666666,33.33333333333333,3
sailor,66.66666666666666,33.33333333333333,9
debarker operator,66.66666666666666,33.33333333333333,3
V-belt finisher,66.66666666666666,33.33333333333333,3
insurance clerk,66.66666666666666,33.33333333333333,3
land-based machinery supervisor,66.66666666666666,33.33333333333333,3
transport technology vocational teacher,66.66666666666666,33.33333333333333,3
child day care centre manager,66.66666666666666,33.33333333333333,3
housing support worker,66.66666666666666,33.33333333333333,9
wood sander,66.66666666666666,33.33333333333333,3
rolling stock engine inspector,66.66666666666666,33.33333333333333,3
veterinary scientist,66.66666666666666,33.33333333333333,3
child care coordinator,66.66666666666666,33.33333333333333,21
healthcare inspector,66.66666666666666,33.33333333333333,27
interpretation agency manager,66.66666666666666,33.33333333333333,3
alternative fuels engineer,66.30434782608695,33.69565217391305,184
economic policy officer,65.38461538461539,34.61538461538461,26
sewer construction supervisor,64.70588235294117,35.294117647058826,17
wastewater engineer,64.28571428571429,35.714285714285715,56
optical engineer,64.28571428571429,35.714285714285715,14
wash deinking operator,64.28571428571429,35.714285714285715,28
social work researcher,63.63636363636363,36.36363636363637,11
audio-visual technician,63.1578947368421,36.84210526315789,19
environmental mining engineer,63.1578947368421,36.84210526315789,19
nuclear reactor operator,63.1578947368421,36.84210526315789,19
energy assessor,62.96296296296296,37.03703703703704,27
health and safety inspector,62.66666666666667,37.333333333333336,75
mineralogist,62.5,37.5,8
rail construction supervisor,62.5,37.5,8
industrial waste inspector,62.5,37.5,24
nitrator operator,62.06896551724138,37.93103448275862,29
energy engineer,61.35693215339233,38.64306784660767,339
forge equipment technician,61.33333333333333,38.666666666666664,75
aviation ground systems engineer,61.111111111111114,38.88888888888889,90
hydropower engineer,60.86956521739131,39.130434782608695,23
insurance claims handler,60.86956521739131,39.130434782608695,23
geochemist,60.71428571428571,39.285714285714285,28
rental service representative,60.526315789473685,39.473684210526315,38
dewatering technician,60.0,40.0,5
road maintenance worker,60.0,40.0,5
rehabilitation support worker,60.0,40.0,5
sound mastering engineer,60.0,40.0,5
dental hygienist,60.0,40.0,40
airline transport pilot,60.0,40.0,10
customs and excise officer,60.0,40.0,5
helicopter pilot,60.0,40.0,5
planer thicknesser operator,60.0,40.0,10
weaver,60.0,40.0,5
costume attendant,60.0,40.0,5
landscape designer,60.0,40.0,20
political party agent,60.0,40.0,5
"import export specialist in machinery, industrial equipment, ships and aircraft",60.0,40.0,5
health safety and environmental manager,59.815242494226325,40.184757505773675,1299
precision mechanic,59.25925925925925,40.74074074074074,27
occupational therapist,59.25925925925925,40.74074074074074,27
event electrician,58.984375,41.015625,256
electrical transmission system operator,58.620689655172406,41.37931034482759,58
hotel porter,58.620689655172406,41.37931034482759,29
power plant manager,58.58585858585859,41.41414141414141,495
performance lighting director,58.333333333333336,41.66666666666667,12
electrical power distributor,58.333333333333336,41.66666666666667,12
microelectronics smart manufacturing engineer,58.333333333333336,41.66666666666667,24
injection moulding operator,58.06451612903226,41.935483870967744,62
metal polisher,57.89473684210527,42.10526315789473,19
waste management supervisor,57.692307692307686,42.30769230769231,26
metrology technician,57.57575757575758,42.42424242424242,33
geophysicist,57.57575757575758,42.42424242424242,198
energy consultant,57.48031496062992,42.51968503937008,381
immigration policy officer,57.14285714285714,42.857142857142854,7
actuarial assistant,57.14285714285714,42.857142857142854,14
automated assembly line operator,57.14285714285714,42.857142857142854,7
aircraft assembly supervisor,57.14285714285714,42.857142857142854,7
water treatment plant manager,57.02479338842975,42.97520661157025,121
chemistry lecturer,56.91056910569105,43.08943089430895,123
fluid power technician,56.81818181818182,43.18181818181818,88
building caretaker,56.666666666666664,43.333333333333336,30
energy analyst,56.43564356435643,43.56435643564357,101
corrugator operator,56.36363636363636,43.63636363636363,55
meter reader,56.09756097560976,43.90243902439025,41
policy officer,55.88235294117647,44.11764705882353,34
legal policy officer,55.55555555555556,44.44444444444444,27
environmental health inspector,55.55555555555556,44.44444444444444,9
bodyguard,55.55555555555556,44.44444444444444,9
underground heavy equipment operator,55.55555555555556,44.44444444444444,36
room attendant,55.172413793103445,44.827586206896555,58
power plant control room operator,55.140186915887845,44.85981308411215,107
soil scientist,54.761904761904766,45.23809523809524,42
electrolytic cell maker,54.54545454545454,45.45454545454545,22
air separation plant operator,54.54545454545454,45.45454545454545,33
pharmaceutical engineer,54.54545454545454,45.45454545454545,11
activity leader,54.285714285714285,45.714285714285715,35
student financial support coordinator,54.285714285714285,45.714285714285715,35
telecommunications equipment maintainer,54.166666666666664,45.83333333333333,24
"heating, ventilation, air conditioning and refrigeration engineering technician",53.73134328358209,46.26865671641791,268
stonemason,53.65853658536586,46.34146341463415,41
energy conservation officer,53.57142857142857,46.42857142857143,56
concrete finisher,53.48837209302325,46.51162790697674,43
sensor engineer,53.333333333333336,46.666666666666664,15
renewable energy sales representative,53.06122448979592,46.93877551020408,98
