Date,Share of Green Jobs (non-O&G),Share of O&G Jobs (Green and non-Green),share of Green O&G jobs,Share of Green Jobs that are O&G
,3.04,9.33,1.23,13.18
1470,2.0,8.0,0.0,0.0
1924,7.29,8.18,1.64,20.0
1925,7.07,8.91,2.76,31.03
1926,10.19,12.04,3.94,32.69
1927,11.52,10.51,3.03,28.85
1928,12.19,10.74,3.1,28.85
1929,5.28,8.56,0.91,10.64
1930,8.66,12.2,2.56,20.97
1931,6.63,10.46,3.06,29.27
1969,4.69,3.12,0.0,0.0
1970,8.11,10.81,5.41,50.0
2001,10.0,10.0,0.0,0.0
2002,4.76,4.76,0.0,0.0
2003,25.0,6.25,0.0,0.0
2005,11.11,0.0,0.0,
2006,11.76,5.88,0.0,0.0
2007,11.43,2.86,0.0,0.0
2008,0.0,5.38,0.0,0.0
2009,3.32,11.62,0.83,7.14
2010,7.63,9.12,1.16,12.73
2011,8.59,15.17,2.38,15.66
2012,8.85,18.54,4.07,21.94
2013,2.89,9.31,1.32,14.22
2014,1.7,4.85,0.44,9.16
2015,1.25,3.16,0.32,10.0
2016,1.33,2.95,0.2,6.79
2017,1.4,4.32,0.78,18.14
2018,2.4,3.58,0.43,12.14
2019,2.81,5.85,0.76,13.0
2020,2.64,4.13,0.62,14.98
2021,2.4,5.24,0.84,16.07
2022,2.5,4.63,0.98,21.04
2023,2.36,4.69,0.96,20.37
2024,3.91,5.12,1.2,23.43
2025,3.85,5.54,1.52,27.42
