Country,Countries with Green Jobs within their O&G Sectors,Total # of jobs scraped per country
Mauritania,56.69642857,1124
Iraq,43.96522902,52068
Algeria,30.24296675,39401
Saudi Arabia,29.01867813,550081
Morocco,28.61111111,85787
Somalia,25.34246575,24218
Oman,24.56088706,197704
Libya,23.05986696,7880
Sudan,20.83333333,15070
United Arab Emirates,17.74327237,1152490
Qatar,17.66855412,309685
Yemen,17.60797342,10271
Bahrain,15.68307793,99691
Kuwait,15.12280379,492760
Egypt,15.07166483,351282
Tunisia,14.90636704,91018
Syria,13.43283582,6055
Jordan,12.49421564,85615
,10.14907086,
Palestine,8.86075949,11316
Lebanon,8.19606268,158118
